Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Sam LaPorta,TE,Eks Gonna Give It To Ya!,0.0,0.0,241.3,14.19,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},98.67,A+
Jets D/ST,D/ST,"All Barkley, No Bite",0.0,0.0,215.0,12.65,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},95.53,A
Kyren Williams,RB,Eks Gonna Give It To Ya!,0.0,0.0,251.0,20.92,12,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},94.64,A
Puka Nacua,WR,Still Rollin',0.0,0.0,261.0,15.35,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},93.46,A
Chiefs D/ST,D/ST,Team Padodara,0.0,0.0,201.0,11.82,17,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},90.28,A-
Brandon Aubrey,K,BurgerBoyz,123.6,7.27,173.0,10.18,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},87.14,B+
Jordan Love,QB,Team Padodara,0.0,0.0,304.06,17.89,17,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E},86.45,B
Jerome Ford,RB,BurgerBoyz,0.0,0.0,195.2,11.48,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.77,B
Trey McBride,TE,BurgerBoyz,70.92,4.73,185.5,10.91,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.66,B
Brock Purdy,QB,BurgerBoyz,0.0,0.0,284.6,17.79,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.1,B
De'Von Achane,RB,BurgerBoyz,0.0,0.0,189.7,17.25,11,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},83.8,B
Raiders D/ST,D/ST,"All Barkley, No Bite",0.0,0.0,183.0,10.76,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},83.54,B
Jared Goff,QB,Killler jatt ,0.0,0.0,275.1,16.18,17,{60C8783C-68C6-446B-8A96-6FF3C6BDC774},82.95,B-
Gus Edwards,RB,Still Rollin',0.0,0.0,181.0,10.65,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.26,B-
