Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Jason Myers,K,NoHalfSends,133.76,7.87,187.0,11.69,16,100.0,A+,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Matthew Stafford,QB,NoHalfSends,259.03,15.24,315.72,19.73,16,93.84,A,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Wan'Dale Robinson,WR,Team Padodara,120.23,7.07,177.9,11.12,16,87.25,B+,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Kenneth Gainwell,RB,NoHalfSends,181.98,10.7,167.4,10.46,16,84.92,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Romeo Doubs,WR,THE BIGMADBLUE,104.46,6.14,137.9,8.62,16,82.08,B-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Jake Ferguson,TE,Team BB,152.05,8.94,186.6,11.66,16,81.96,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Harrison Butker,K,Team Padodara,133.03,7.83,123.0,7.69,16,81.12,B-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Trevor Lawrence,QB,Team BB,265.32,15.61,295.38,18.46,16,77.89,C+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Falcons D/ST,D/ST,THE BIGMADBLUE,105.84,6.23,133.0,8.31,16,77.46,C+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Rico Dowdle,RB,The Man In Jahmyrror,74.08,4.36,203.8,12.74,16,76.48,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Oronde Gadsden,TE,Team BB,0.0,0.0,129.1,9.22,14,76.43,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Colby Parkinson,TE,"All Barkley, No Bite",14.85,0.87,110.2,7.87,14,73.36,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Commanders D/ST,D/ST,Bhals,95.73,5.63,63.0,3.94,16,72.2,C-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Sam Darnold,QB,The Man In Jahmyrror,221.68,13.04,217.1,13.57,16,71.86,C-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Andy Borregales,K,Team BB,121.83,7.17,129.0,8.06,16,71.59,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Chris Rodriguez Jr.,RB,Team BB,32.07,1.89,75.7,6.31,12,71.55,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
AJ Barner,TE,THE BIGMADBLUE,82.25,4.84,143.9,8.99,16,71.33,C-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Daniel Jones,QB,Bhals,198.65,15.28,215.44,16.57,13,71.23,C-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
Chiefs D/ST,D/ST,The Man In Jahmyrror,139.87,8.23,123.0,7.69,16,69.85,D+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Quentin Johnston,WR,Hark,140.12,8.24,148.7,10.62,14,68.67,D+,{8BF15A87-7793-43C2-B15A-87779313C26A}
Harold Fannin Jr.,TE,Team BB,53.74,3.16,188.4,11.78,16,67.49,D+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Jaxson Dart,QB,Team BB,121.9,13.54,205.68,15.82,13,67.09,D+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Kyle Monangai,RB,THE BIGMADBLUE,47.93,2.82,136.3,8.52,16,66.69,D,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Rams D/ST,D/ST,Hark,131.51,7.74,161.0,10.06,16,66.1,D,{8BF15A87-7793-43C2-B15A-87779313C26A}
