Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI
Bhals,83.62,B,Brown Munde,6.0,1744.32,1765.94,17-11-0,2024.0,49.0
Seigaku FC,82.51,B-,EBC League,3.0,1924.04,1747.62,12-2-0,2022.0,60.0
Taco Tuesday Everyday,82.33,B-,THE BEST OF THE BEST,2.0,1682.34,1438.1,10-4-0,2024.0,46.0
the   jadey bunch,82.14,B-,THE BEST OF THE BEST,2.0,1578.12,1397.82,11-3-0,2022.0,53.0
The Hungry Dogs,81.96,B-,EBC League,2.0,1883.06,1493.16,10-4-0,2024.0,40.0
Peter Pan + the Lost Boys ,81.27,B-,THE BEST OF THE BEST,1.0,1647.74,1410.68,10-4-0,2023.0,40.0
The Chase is on,80.87,B-,Game of Yards!,1.0,1901.26,1684.24,21-7-0,2024.0,43.0
Team Rodriguez,80.65,B-,THE BEST OF THE BEST,1.0,1832.76,1476.6,13-1-0,2024.0,75.0
Partners for What's Possible,80.44,B-,Pennoni Younglings,3.0,1719.5,1589.22,9-5-0,2024.0,30.0
The  Dream crusher,80.37,B-,THE BEST OF THE BEST,1.0,1550.78,1464.2,7-7-0,2022.0,38.0
RAJUN CAJUN,80.14,B-,Turf On Grade 2.0,7.0,1582.84,1685.66,4-10-0,2024.0,10.0
Arm Pitts,80.11,B-,0755 Fantasy Football,3.0,1441.88,1335.36,8-5-0,2023.0,41.0
PAI Alcoholics Anonymous ,80.04,B-,Pennoni Younglings,5.0,1805.66,1828.46,6-8-0,2024.0,42.0
THE POOL,80.01,B-,EBC League,1.0,1793.18,1696.54,8-6-0,2023.0,-3.0
Golden Receivers,79.81,C+,Family Fantasy,4.0,1892.7,1525.78,12-2-0,2024.0,63.0
My Team Hurts,79.71,C+,RRR On Premise,,,,,,
Pitman MaleManipulator,79.65,C+,EBC League,6.0,1790.5,1823.86,6-8-0,2022.0,15.0
PAI India Division Manager,79.64,C+,Pennoni Younglings,6.0,1661.92,1503.3,6-8-0,2023.0,36.0
Crazy Kat,79.48,C+,THE BEST OF THE BEST,4.0,1574.02,1339.88,11-3-0,2022.0,52.0
Wu-Tangs Killabeez,79.47,C+,THE BEST OF THE BEST,3.0,1499.14,1365.04,9-5-0,2022.0,23.0
Hungry Dogs,79.35,C+,EBC League,2.0,1843.64,1575.68,11-3-0,2021.0,9.0
Trestleches,79.13,C+,Turf On Grade 2.0,2.0,1859.26,1725.44,9-5-0,2024.0,55.0
Django Achane'd,78.96,C+,Turf On Grade 2.0,3.0,1832.8,1652.3,10-4-0,2024.0,32.0
Team HebAchi,78.94,C+,Game of Yards!,1.0,1453.44,1485.84,6-8-0,2022.0,-2.0
Team Cogs,78.89,C+,Pennoni Younglings,4.0,1640.26,1378.62,12-2-0,2022.0,50.0
All Barkley No Bite,78.79,C+,Game of Yards!,3.0,1545.36,1296.2,11-2-0,2019.0,0.0
Team Amijaz,78.73,C+,Game of Yards!,2.0,1738.76,1653.88,7-7-0,2020.0,44.0
Trestleches,78.6,C+,Turf On Grade 2.0,3.0,2230.78,1824.36,10-4-0,2023.0,48.0
Pleasant Valley Panthers,78.57,C+,EBC League,8.0,1640.36,1810.14,4-10-0,2023.0,-18.0
Wut happened uh 🤷🏽‍♂️,78.51,C+,EBC League,4.0,1760.26,1665.64,9-5-0,2022.0,-16.0
Steel Curtain Athletics,78.43,C+,Turf On Grade 2.0,5.0,1905.52,1945.52,6-8-0,2023.0,9.0
Wakanda Forever,78.33,C+,Game of Yards!,8.0,1434.04,1482.1,5-8-0,2019.0,16.0
Team BIGMADBLUE,78.26,C+,Game of Yards!,4.0,1703.36,1621.14,8-6-0,2020.0,48.0
Numb Nutz - CHAMP,78.26,C+,Family Fantasy,1.0,1499.72,1502.28,8-6-0,2024.0,-11.0
Division iPad,78.19,C+,0755 Fantasy Football,2.0,1708.4,1621.36,11-3-0,2024.0,13.0
Team Vellapanti,77.96,C+,Game of Yards!,6.0,1467.22,1454.82,8-5-0,2019.0,22.0
19th St Halal Cart,77.92,C+,Pennoni Younglings,3.0,1661.48,1543.12,10-4-0,2023.0,60.0
Skibidi Rizzlers,77.89,C+,Family Fantasy,5.0,1727.26,1603.94,8-6-0,2024.0,-3.0
Off Script ,77.84,C+,THE BEST OF THE BEST,2.0,1556.32,1363.82,9-5-0,2023.0,8.0
Philadelphia British Army,77.83,C+,Pennoni Younglings,1.0,1482.64,1367.84,8-6-0,2022.0,1.0
Control Machete,77.83,C+,Turf On Grade 2.0,1.0,1780.64,1628.42,8-6-0,2024.0,35.0
Hark,77.82,C+,Brown Munde,7.0,1546.54,1521.66,14-14-0,2024.0,-12.0
19th St Halal Cart,77.8,C+,Pennoni Younglings,7.0,1539.04,1410.0,9-5-0,2022.0,16.0
Riley  Read option,77.75,C+,EBC League,3.0,1723.68,1609.62,11-3-0,2023.0,-14.0
Pleasant Valley Panthers,77.63,C+,EBC League,3.0,1710.14,1757.36,6-8-0,2021.0,0.0
Now there are two of them!,77.63,C+,Turf On Grade 2.0,6.0,1890.6,1973.82,6-8-0,2023.0,8.0
PAI Alcoholics Anonymous ,77.63,C+,Pennoni Younglings,3.0,1463.36,1518.54,7-7-0,2022.0,37.0
Abyss Diamond Eyes,77.61,C+,EBC League,7.0,1709.48,1811.9,4-10-0,2022.0,-18.0
India's Most Wanted,77.57,C+,0755 Fantasy Football,9.0,1409.56,1463.8,4-9-0,2023.0,36.0
Peter Pan + the Lost Boys ,77.53,C+,THE BEST OF THE BEST,7.0,1532.54,1439.04,10-4-0,2024.0,9.0
Pain Inflictors,77.49,C+,Game of Yards!,2.0,1584.74,1456.54,10-4-0,2021.0,-7.0
Stiff Armed and Dangerous,77.44,C+,Game of Yards!,2.0,1598.32,1399.44,10-4-0,2022.0,24.0
Team Rodriguez,77.37,C+,THE BEST OF THE BEST,9.0,1375.7,1425.3,4-10-0,2022.0,3.0
Eks Gonna Give It To Ya!,77.36,C+,Brown Munde,5.0,1587.9,1514.54,7-7-0,2023.0,-1.0
Patrick's Stars,77.21,C+,0755 Fantasy Football,10.0,1771.38,1777.64,7-7-0,2024.0,-8.0
Philadelphia Bills Mafia,77.2,C+,Pennoni Younglings,8.0,1551.24,1703.48,5-9-0,2024.0,-7.0
Team Padodara,77.18,C+,Brown Munde,4.0,1632.56,1588.82,9-5-0,2023.0,36.0
Olave Another,77.17,C+,0755 Fantasy Football,5.0,1744.22,1643.28,8-6-0,2024.0,13.0
NoHalfSends,77.14,C+,Brown Munde,2.0,1653.76,1628.9,8-6-0,2023.0,29.0
19th St Halal Cart,77.08,C+,Pennoni Younglings,7.0,1703.48,1455.36,9-5-0,2024.0,-12.0
Team HebAchi,77.03,C+,Game of Yards!,2.0,1749.4,1601.44,22-6-0,2024.0,32.0
Bryson Stott Fan Club,77.02,C+,EBC League,3.0,1652.7,1708.06,6-8-0,2024.0,18.0
Team HebAchi,76.99,C,Game of Yards!,7.0,1435.8,1539.92,12-16-0,2023.0,-7.0
the   jadey bunch,76.99,C,THE BEST OF THE BEST,6.0,1521.34,1528.08,6-8-0,2023.0,11.0
All my homies hate Dallas,76.97,C,0755 Fantasy Football,4.0,1671.82,1631.78,8-6-0,2024.0,2.0
OAC PADS,76.91,C,Turf On Grade 2.0,8.0,1874.88,1878.34,7-7-0,2023.0,-10.0
MOTHER MAY I,76.73,C,0755 Fantasy Football,4.0,1523.6,1451.08,9-5-0,2022.0,11.0
Pure Mature,76.72,C,EBC League,1.0,1807.36,1600.98,8-6-0,2021.0,8.0
Oh My Josh,76.71,C,Family Fantasy,3.0,1756.98,1712.94,9-5-0,2024.0,57.0
Pain Inflictors,76.7,C,Game of Yards!,2.0,1551.78,1421.72,17-11-0,2023.0,10.0
I'm Batman,76.69,C,0755 Fantasy Football,1.0,1738.84,1611.66,10-4-0,2024.0,18.0
Pleasant Valley Panthers,76.62,C,EBC League,1.0,1721.44,1453.88,10-4-0,2024.0,12.0
Multiple Scoregasm,76.62,C,Game of Yards!,6.0,1565.54,1553.54,8-6-0,2020.0,-10.0
Inter Miami CF,76.6,C,EBC League,6.0,1700.82,1617.34,9-5-0,2024.0,12.0
BurgerBoyz,76.56,C,Brown Munde,7.0,1570.74,1675.16,6-8-0,2023.0,6.0
Wakanda Forever,76.5,C,Game of Yards!,5.0,1429.38,1500.88,14-14-0,2023.0,-20.0
Inter Miami CF,76.5,C,EBC League,4.0,1833.12,1860.7,8-6-0,2023.0,21.0
Hot Sauce 'n' Bananas,76.49,C,0755 Fantasy Football,6.0,1538.78,1492.98,7-7-0,2022.0,17.0
3rd World Immigrant,76.45,C,0755 Fantasy Football,3.0,1827.14,1741.1,8-6-0,2024.0,47.0
It HURTS being an Eagles fan ,76.41,C,THE BEST OF THE BEST,4.0,1568.32,1524.64,9-5-0,2024.0,20.0
Prahlad's Ghost,76.39,C,Pennoni Younglings,1.0,1678.7,1729.84,7-7-0,2024.0,23.0
SIGMAS,76.32,C,Family Fantasy,9.0,1627.64,1578.98,6-8-0,2024.0,-21.0
Still Rollin',76.29,C,Brown Munde,1.0,1706.28,1514.14,10-4-0,2023.0,38.0
THE BIGMADBLUE,76.27,C,Game of Yards!,1.0,1561.24,1464.36,17-11-0,2023.0,14.0
PHL Mike,76.26,C,0755 Fantasy Football,8.0,1334.22,1557.38,6-8-0,2022.0,-5.0
I'd_Tap_ That,76.24,C,Pennoni Younglings,7.0,1436.46,1486.82,6-8-0,2023.0,-17.0
Team Vellapanti,76.19,C,Game of Yards!,7.0,1568.8,1599.84,6-8-0,2021.0,12.0
Toon Squad,76.19,C,THE BEST OF THE BEST,4.0,1550.0,1383.84,8-6-0,2023.0,17.0
Office Director,76.18,C,0755 Fantasy Football,1.0,1478.2,1317.16,9-5-0,2022.0,-1.0
The Truth Hurts,76.16,C,THE BEST OF THE BEST,6.0,1361.56,1456.32,6-8-0,2022.0,13.0
Jim-a-sore-ass,76.15,C,Turf On Grade 2.0,5.0,1514.16,1587.8,5-9-0,2024.0,-31.0
Gabe's Grand Team,76.11,C,Family Fantasy,6.0,1561.02,1606.96,7-7-0,2024.0,-2.0
Bli Erinker,76.1,C,Pennoni Younglings,2.0,1606.66,1526.16,7-7-0,2023.0,24.0
It's Britney's Bench,76.02,C,0755 Fantasy Football,8.0,1622.32,1779.1,3-11-0,2024.0,-19.0
Pain Inflictors,76.0,C,Game of Yards!,4.0,1574.92,1431.12,10-3-0,2019.0,41.0
Team BB,75.99,C,Brown Munde,1.0,1782.94,1739.9,16-12-0,2024.0,55.0
