Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Juwan Johnson,TE,Inter Miami CF,117.35,6.9,172.8,10.8,16,100.0,A+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Keenan Allen,WR,Inter Miami CF,212.6,12.51,172.1,10.76,16,95.78,A,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Dallas Goedert,TE,THE POOL ,156.88,9.23,185.1,12.34,15,94.68,A,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Jaxson Dart,QB,Werewolves of London,132.17,14.69,221.18,17.01,13,94.57,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Matthew Stafford,QB,THE POOL ,274.08,16.12,323.72,20.23,16,93.92,A,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Jason Myers,K,Abyss Diamond Eyes,136.51,8.03,189.0,11.81,16,93.7,A,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Browns D/ST,D/ST,First down syndrome ,68.61,4.04,124.0,7.75,16,92.13,A-,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
Harold Fannin Jr.,TE,Abyss Diamond Eyes,53.49,3.15,186.4,11.65,16,91.47,A-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Kareem Hunt,RB,OBJYN,99.97,5.88,138.9,8.68,16,89.93,B+,{10F78273-9201-4EE8-B782-739201DEE809}
Jared Goff,QB,Pleasant Valley Panthers,260.45,15.32,281.82,17.61,16,88.19,B+,{8DC6CB03-411B-4540-86CB-03411B854029}
Quentin Johnston,WR,Abyss Diamond Eyes,163.92,9.64,171.2,12.23,14,87.88,B+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Hunter Henry,TE,Jimoke Jukes,148.14,8.71,168.2,10.51,16,85.88,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Kyle Pitts Sr.,TE,First down syndrome ,143.06,8.42,199.0,12.44,16,85.36,B,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85}
Woody Marks,RB,Werewolves of London,73.35,4.31,144.3,9.62,15,81.79,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Jaguars D/ST,D/ST,OBJYN,87.31,5.14,124.0,7.75,16,81.68,B-,{10F78273-9201-4EE8-B782-739201DEE809}
Rams D/ST,D/ST,Abyss Diamond Eyes,87.74,5.16,115.0,7.19,16,81.54,B-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
