Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 8,8,Ja'Marr Chase,WR,Golden Receivers,289.45,20.67,403.0,23.71,17,100.0,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
14 - 8,164,Bucky Irving,RB,For Me to Poop on,112.11,8.01,244.4,14.38,17,100.0,A+,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
4 - 4,40,Lamar Jackson,QB,Rizzly Bears,303.83,20.26,430.38,25.32,17,100.0,A+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
1 - 12,12,Jahmyr Gibbs,RB,Tortured Football Department,238.5,17.04,362.9,21.35,17,100.0,A+,{8F726947-16B6-4023-8839-58DD00CD6659}
9 - 3,99,Brock Bowers,TE,SIGMAS,144.0,9.6,262.7,15.45,17,100.0,A+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
1 - 10,10,Saquon Barkley,RB,Oh My Josh,252.41,18.03,355.3,22.21,16,100.0,A+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
2 - 9,21,Derrick Henry,RB,Gabe's Grand Team,225.04,16.07,336.4,19.79,17,100.0,A+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
8 - 10,94,Brian Thomas Jr.,WR,SIGMAS,171.63,11.44,284.0,16.71,17,99.33,A+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
10 - 7,115,Chuba Hubbard,RB,Numb Nutz - CHAMP,136.19,9.73,241.6,16.11,15,98.16,A+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
7 - 8,80,Jayden Daniels,QB,Golden Receivers,255.91,17.06,355.82,20.93,17,97.64,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
13 - 6,150,Jared Goff,QB,Numb Nutz - CHAMP,234.9,15.66,324.46,19.09,17,97.4,A+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
5 - 1,49,Joe Burrow,QB,lawrence's Loud Team,278.72,18.58,372.82,21.93,17,97.32,A+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
1 - 2,2,Bijan Robinson,RB,Skibidi Rizzlers,292.77,20.91,341.7,20.1,17,96.02,A,{88877912-82AE-408B-9AD4-17D54F48BACA}
2 - 10,22,De'Von Achane,RB,SIGMAS,211.07,15.08,299.9,17.64,17,95.31,A,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
2 - 12,24,Josh Allen,QB,lawrence's Loud Team,313.58,20.91,379.04,22.3,17,95.3,A,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
8 - 12,96,Chase Brown,RB,lawrence's Loud Team,166.97,11.93,255.0,15.94,16,95.14,A,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
4 - 6,42,Josh Jacobs,RB,Breece Hall Sucks,216.51,15.46,293.1,17.24,17,94.53,A,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 8,56,Trey McBride,TE,Golden Receivers,182.3,12.15,249.8,15.61,16,93.12,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 5,65,Terry McLaurin,WR,Golden Receivers,193.47,12.9,267.8,15.75,17,93.03,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
1 - 6,6,Justin Jefferson,WR,Numb Nutz - CHAMP,282.2,18.81,317.48,18.68,17,92.82,A-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
12 - 7,139,Jerry Jeudy,WR,Numb Nutz - CHAMP,176.72,11.78,240.9,14.17,17,92.78,A-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
1 - 5,5,Amon-Ra St. Brown,WR,For Me to Poop on,283.98,18.93,316.18,18.6,17,92.48,A-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
5 - 6,54,Malik Nabers,WR,Numb Nutz - CHAMP,222.57,14.84,273.6,18.24,15,92.34,A-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
6 - 8,68,George Kittle,TE,For Me to Poop on,175.43,11.7,236.6,15.77,15,92.31,A-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
15 - 8,176,Josh Downs,WR,Golden Receivers,111.26,8.56,183.5,13.11,14,92.09,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
10 - 2,110,Ladd McConkey,WR,Your Mom,178.4,11.89,240.9,15.06,16,91.93,A-,{F1F84656-65C6-418D-85EB-A941DF949C09}
4 - 11,47,James Conner,RB,Skibidi Rizzlers,177.8,13.68,253.8,15.86,16,91.2,A-,{88877912-82AE-408B-9AD4-17D54F48BACA}
7 - 3,75,Jaxon Smith-Njigba,WR,SIGMAS,191.39,12.76,253.0,14.88,17,90.96,A-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
2 - 11,23,Drake London,WR,Skibidi Rizzlers,225.56,15.04,280.8,16.52,17,90.95,A-,{88877912-82AE-408B-9AD4-17D54F48BACA}
13 - 3,147,Jameson Williams,WR,SIGMAS,161.76,10.78,212.2,14.15,15,90.19,A-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
3 - 8,32,Alvin Kamara,RB,Golden Receivers,231.09,16.51,265.3,18.95,14,89.99,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
10 - 9,117,Brandon Aubrey,K,Gabe's Grand Team,142.08,8.36,187.0,11.0,17,89.97,B+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
14 - 10,166,Cameron Dicker,K,SIGMAS,138.3,8.14,176.0,10.35,17,89.91,B+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
