Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Baker Mayfield,QB,Breece Hall Sucks,245.41,16.36,259.26,19.94,13,100.0,A+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Sam Darnold,QB,Golden Receivers,192.49,14.81,241.36,18.57,13,99.81,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Bo Nix,QB,Rizzly Bears,192.76,13.77,227.28,17.48,13,99.46,A+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Jauan Jennings,WR,Skibidi Rizzlers,73.15,4.88,175.5,14.62,12,97.27,A+,{88877912-82AE-408B-9AD4-17D54F48BACA}
Broncos D/ST,D/ST,Golden Receivers,62.93,3.7,127.0,9.77,13,95.62,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Chris Boswell,K,Breece Hall Sucks,129.64,7.63,162.0,12.46,13,94.93,A,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Vikings D/ST,D/ST,Breece Hall Sucks,90.25,5.31,127.0,9.77,13,94.08,A,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Texans D/ST,D/ST,Tortured Football Department,89.43,5.26,113.0,8.69,13,92.52,A-,{8F726947-16B6-4023-8839-58DD00CD6659}
Jonnu Smith,TE,Golden Receivers,83.38,5.56,160.1,12.32,13,92.13,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Geno Smith,QB,Rizzly Bears,227.03,16.22,205.56,15.81,13,91.94,A-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Jake Bates,K,Skibidi Rizzlers,137.91,8.11,125.0,9.62,13,90.15,A-,{88877912-82AE-408B-9AD4-17D54F48BACA}
Tucker Kraft,TE,For Me to Poop on,89.94,6.0,133.5,10.27,13,89.22,B+,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Chargers D/ST,D/ST,SIGMAS,78.89,4.64,104.0,8.0,13,88.29,B+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
Zach Ertz,TE,Skibidi Rizzlers,74.0,4.93,130.1,10.01,13,88.11,B+,{88877912-82AE-408B-9AD4-17D54F48BACA}
Tyrone Tracy Jr.,RB,Breece Hall Sucks,82.86,5.92,143.0,11.0,13,85.95,B,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Cade Otton,TE,Breece Hall Sucks,109.61,7.31,136.2,10.48,13,85.82,B,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
Chase McLaughlin,K,lawrence's Loud Team,133.62,7.86,114.0,8.77,13,85.52,B,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Austin Seibert,K,Numb Nutz,0.0,0.0,112.0,12.44,9,85.34,B,
Tyler Bass,K,For Me to Poop on,129.39,7.61,107.0,8.23,13,83.56,B,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Eagles D/ST,D/ST,Skibidi Rizzlers,89.53,5.27,94.0,7.23,13,82.58,B-,{88877912-82AE-408B-9AD4-17D54F48BACA}
Ray-Ray McCloud III,WR,lawrence's Loud Team,100.33,6.69,118.1,9.08,13,82.15,B-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Quentin Johnston,WR,Tortured Football Department,110.25,7.35,113.0,10.27,11,81.32,B-,{8F726947-16B6-4023-8839-58DD00CD6659}
Jordan Mason,RB,Your Mom,82.57,6.35,115.0,9.58,12,81.06,B-,{F1F84656-65C6-418D-85EB-A941DF949C09}
Elijah Moore,WR,Skibidi Rizzlers,71.94,4.8,107.2,8.25,13,79.55,C+,{88877912-82AE-408B-9AD4-17D54F48BACA}
Nick Westbrook-Ikhine,WR,lawrence's Loud Team,22.26,1.59,107.4,8.26,13,78.97,C+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Cardinals D/ST,D/ST,Skibidi Rizzlers,53.06,3.12,74.0,5.69,13,77.82,C+,{88877912-82AE-408B-9AD4-17D54F48BACA}
Mike Gesicki,TE,lawrence's Loud Team,79.21,5.28,98.0,7.54,13,77.45,C+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Tank Bigsby,RB,Golden Receivers,74.4,5.31,100.2,8.35,12,74.03,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Russell Wilson,QB,Skibidi Rizzlers,176.55,14.71,119.76,17.11,7,73.36,C,{88877912-82AE-408B-9AD4-17D54F48BACA}
Commanders D/ST,D/ST,Numb Nutz,76.9,4.52,64.0,4.92,13,72.71,C-,
Buccaneers D/ST,D/ST,Numb Nutz,75.24,4.43,60.0,4.62,13,71.22,C-,
Cedric Tillman,WR,Your Mom,78.82,5.25,80.4,7.31,11,69.52,D+,{F1F84656-65C6-418D-85EB-A941DF949C09}
Isaac Guerendo,RB,SIGMAS,40.35,2.88,79.8,5.7,14,69.26,D+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
Sterling Shepard,WR,lawrence's Loud Team,0.0,0.0,71.2,6.47,11,66.16,D,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
Marquez Valdes-Scantling,WR,For Me to Poop on,27.72,1.85,69.4,6.31,11,66.08,D,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Roschon Johnson,RB,SIGMAS,57.13,4.08,69.7,6.34,11,65.01,D,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
Falcons D/ST,D/ST,Tortured Football Department,107.5,6.32,40.0,3.08,13,59.39,F-,{8F726947-16B6-4023-8839-58DD00CD6659}
Dawson Knox,TE,Numb Nutz,82.33,5.49,47.3,3.64,13,59.33,F-,
Trey Sermon,RB,Tortured Football Department,59.61,4.26,44.6,3.43,13,57.72,F-,{8F726947-16B6-4023-8839-58DD00CD6659}
Matthew Wright,K,Rizzly Bears,0.0,0.0,42.0,14.0,3,57.09,F-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Ricky Pearsall,WR,Numb Nutz,42.55,3.87,38.2,4.78,8,51.7,F-,
Spencer Shrader,K,Tortured Football Department,7.75,0.0,26.0,6.5,4,46.51,F-,{8F726947-16B6-4023-8839-58DD00CD6659}
Audric Estime,RB,For Me to Poop on,59.54,4.25,21.0,2.33,9,43.25,F-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
Sincere McCormick,RB,Oh My Josh,0.0,0.0,22.7,5.67,4,42.97,F-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
Stone Smartt,TE,Numb Nutz,36.13,2.41,15.8,1.44,11,42.04,F-,
Tom Brady,QB,Rizzly Bears,0.0,0.0,0.0,0.0,0,10.0,F-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
