Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 5,5,Alvin Kamara,RB,Bhambhwani Pawan Dilip,253.2,18.09,338.3,22.55,15,100.0,A+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
1 - 8,8,Dalvin Cook,RB,Wakanda Forever,258.15,18.44,318.8,22.77,14,100.0,A+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
1 - 4,4,Derrick Henry,RB,Team BIGMADBLUE,242.19,17.3,326.6,20.41,16,100.0,A+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
11 - 5,105,Josh Allen,QB,Bhambhwani Pawan Dilip,279.21,19.94,399.56,24.97,16,99.91,A+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
11 - 7,107,Aaron Rodgers,QB,Multiple Scoregasm,271.7,18.11,396.76,24.8,16,99.5,A+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 9,19,Davante Adams,WR,Team Amijaz,207.63,14.83,302.9,21.64,14,98.25,A+,{E8084BA7-697B-4617-884B-A7697B7617C9}
9 - 1,81,Kyler Murray,QB,Team TitBit,307.04,20.47,388.74,24.3,16,97.96,A+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
2 - 7,17,Patrick Mahomes,QB,Team BIGMADBLUE,350.59,23.37,384.4,25.63,15,97.9,A+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
3 - 2,22,Tyreek Hill,WR,Team Amijaz,213.38,14.23,289.9,19.33,15,97.7,A+,{E8084BA7-697B-4617-884B-A7697B7617C9}
2 - 10,20,Travis Kelce,TE,Team TitBit,219.65,14.64,260.26,17.35,15,96.78,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
14 - 9,139,Ryan Tannehill,QB,Team Amijaz,245.14,16.34,354.36,22.15,16,96.31,A,{E8084BA7-697B-4617-884B-A7697B7617C9}
6 - 2,52,Deshaun Watson,QB,Muqaddar Ka Sikandar,327.49,21.83,380.32,23.77,16,95.09,A,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
7 - 6,66,Tom Brady,QB,Pain Inflictors,299.69,21.41,339.92,21.24,16,94.85,A,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
6 - 10,60,Russell Wilson,QB,Team TitBit,301.12,20.07,368.78,23.05,16,93.43,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
5 - 6,46,Darren Waller,TE,Pain Inflictors,152.5,10.17,225.1,14.07,16,92.54,A-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
1 - 7,7,Lamar Jackson,QB,Multiple Scoregasm,345.78,23.05,336.28,22.42,15,92.2,A-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 1,131,Kirk Cousins,QB,Fresh Prince  Of Hel-Aire,236.7,15.78,314.2,19.64,16,91.11,A-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
