Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 3,13,CeeDee Lamb,WR,Team HebAchi,0.0,0.0,337.7,19.86,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},96.82,A
1 - 5,5,Christian McCaffrey,RB,Run CMC,0.0,0.0,359.8,22.49,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},94.94,A
1 - 7,7,Tyreek Hill,WR,Brown Munde,0.0,0.0,323.9,20.24,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},94.66,A
10 - 4,94,Raheem Mostert,RB,Brown Munde,0.0,0.0,255.7,17.05,15,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},93.13,A
16 - 4,154,Sam LaPorta,TE,Brown Munde,0.0,0.0,196.8,11.58,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},91.32,A-
7 - 4,64,Breece Hall,RB,THE BIGMADBLUE,0.0,0.0,257.0,15.12,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},90.25,A-
15 - 3,143,Ravens D/ST,D/ST,Pain Inflictors,0.0,0.0,196.6,11.56,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},89.42,B+
9 - 5,85,Mike Evans,WR,Run CMC,0.0,0.0,245.0,14.41,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},89.24,B+
3 - 3,23,Josh Allen,QB,Pain Inflictors,0.0,0.0,380.14,22.36,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},88.96,B+
2 - 7,17,Amon-Ra St. Brown,WR,Amon a Mission,194.63,12.98,271.9,16.99,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},87.95,B+
14 - 8,138,Nico Collins,WR,Pain Inflictors,0.0,0.0,223.4,14.89,15,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},87.81,B+
12 - 6,116,Cowboys D/ST,D/ST,Run CMC,0.0,0.0,193.1,11.36,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},87.53,B+
4 - 9,39,Travis Etienne Jr.,RB,Wakanda Forever,0.0,0.0,256.4,15.08,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},87.31,B+
16 - 7,157,Browns D/ST,D/ST,THE BIGMADBLUE,0.0,0.0,182.9,10.76,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},87.27,B+
5 - 10,50,Rachaad White,RB,Amon a Mission,0.0,0.0,236.4,13.91,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.41,B
17 - 3,163,De'Von Achane,RB,Pain Inflictors,0.0,0.0,179.2,16.29,11,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},86.26,B
7 - 5,65,DJ Moore,WR,Run CMC,0.0,0.0,240.0,14.12,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},85.67,B
9 - 8,88,David Montgomery,RB,Team HebAchi,0.0,0.0,201.2,14.37,14,{49094F84-F849-4173-B052-21E1CDEDB4EF},85.55,B
5 - 8,48,Dak Prescott,QB,Team HebAchi,0.0,0.0,311.84,18.34,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},85.44,B
14 - 7,137,Jordan Love,QB,THE BIGMADBLUE,0.0,0.0,290.06,17.06,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},85.1,B
3 - 4,24,Jalen Hurts,QB,THE BIGMADBLUE,0.0,0.0,328.82,19.34,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},84.85,B
17 - 9,169,Jaylen Warren,RB,Bhambhwani Pawan Dilip,0.0,0.0,167.4,9.85,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},84.68,B
9 - 2,82,Evan Engram,TE,Wakanda Forever,0.0,0.0,173.3,10.19,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},84.58,B
10 - 3,93,Jerome Ford,RB,Team HebAchi,0.0,0.0,192.2,11.31,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},84.47,B
15 - 10,150,Jared Goff,QB,Amon a Mission,0.0,0.0,266.6,15.68,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},83.93,B
4 - 4,34,Lamar Jackson,QB,Brown Munde,0.0,0.0,303.72,18.98,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},83.48,B
12 - 9,119,Jets D/ST,D/ST,Wakanda Forever,0.0,0.0,178.4,10.49,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},83.46,B
10 - 5,95,Brian Robinson Jr.,RB,Kelce You Again!,0.0,0.0,181.6,12.11,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},83.29,B
4 - 7,37,Deebo Samuel,WR,THE BIGMADBLUE,0.0,0.0,231.6,15.44,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},83.27,B
6 - 7,57,James Cook,RB,THE BIGMADBLUE,0.0,0.0,210.7,12.39,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},82.95,B-
6 - 8,58,George Kittle,TE,Pain Inflictors,0.0,0.0,172.7,10.79,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},82.8,B-
16 - 10,160,Harrison Butker,K,Team CTE,140.48,8.26,152.0,8.94,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},82.56,B-
11 - 6,106,Bills D/ST,D/ST,Kelce You Again!,0.0,0.0,176.7,10.39,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},82.53,B-
14 - 5,135,Justin Tucker,K,Kelce You Again!,146.83,8.64,158.0,9.29,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},82.44,B-
15 - 9,149,Jason Myers,K,Bhambhwani Pawan Dilip,138.32,8.14,154.0,9.06,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.41,B-
4 - 1,31,Keenan Allen,WR,Amon a Mission,0.0,0.0,225.86,17.37,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.02,B-
2 - 6,16,A.J. Brown,WR,Run CMC,0.0,0.0,238.1,14.01,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},81.99,B-
11 - 3,103,David Njoku,TE,Pain Inflictors,0.0,0.0,160.7,10.04,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},81.96,B-
9 - 9,89,Michael Pittman Jr.,WR,Bhambhwani Pawan Dilip,0.0,0.0,197.7,12.36,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},81.83,B-
13 - 2,122,Zack Moss,RB,Wakanda Forever,0.0,0.0,157.6,11.26,14,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},81.77,B-
7 - 8,68,Brandon Aiyuk,WR,Team HebAchi,0.0,0.0,213.2,13.33,16,{49094F84-F849-4173-B052-21E1CDEDB4EF},81.7,B-
17 - 4,164,Chiefs D/ST,D/ST,THE BIGMADBLUE,0.0,0.0,161.3,9.49,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},81.61,B-
2 - 10,20,Joe Mixon,RB,Team CTE,0.0,0.0,241.0,14.18,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},81.25,B-
12 - 3,113,Jake Elliott,K,Team HebAchi,141.34,8.31,155.0,9.12,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},80.91,B-
5 - 7,47,Alvin Kamara,RB,Brown Munde,0.0,0.0,195.5,15.04,13,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},80.91,B-
14 - 4,134,Adam Thielen,WR,Brown Munde,0.0,0.0,179.5,10.56,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},80.65,B-
11 - 5,105,Jordan Addison,WR,Run CMC,0.0,0.0,189.8,11.16,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},80.59,B-
13 - 8,128,Jakobi Meyers,WR,Team HebAchi,0.0,0.0,183.08,11.44,16,{49094F84-F849-4173-B052-21E1CDEDB4EF},80.55,B-
12 - 8,118,Tua Tagovailoa,QB,Pain Inflictors,0.0,0.0,261.36,15.37,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},80.49,B-
6 - 3,53,Isiah Pacheco,RB,Team HebAchi,0.0,0.0,192.4,13.74,14,{49094F84-F849-4173-B052-21E1CDEDB4EF},80.49,B-
12 - 4,114,Ezekiel Elliott,RB,Brown Munde,116.22,8.3,149.0,8.76,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},80.18,B-
5 - 1,41,T.J. Hockenson,TE,Team CTE,0.0,0.0,171.5,11.43,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},80.01,B-
6 - 1,51,James Conner,RB,Amon a Mission,0.0,0.0,188.0,14.46,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},79.9,C+
14 - 10,140,Dolphins D/ST,D/ST,Team CTE,0.0,0.0,161.3,9.49,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},79.13,C+
3 - 10,30,Jahmyr Gibbs,RB,Amon a Mission,0.0,0.0,216.1,14.41,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},79.13,C+
8 - 9,79,George Pickens,WR,Wakanda Forever,0.0,0.0,183.0,10.76,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},79.1,C+
15 - 1,141,Cole Kmet,TE,Team CTE,0.0,0.0,144.6,8.51,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},78.93,C+
5 - 6,46,Kenneth Walker III,RB,Kelce You Again!,0.0,0.0,186.4,12.43,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},78.81,C+
6 - 4,54,D'Andre Swift,RB,Brown Munde,0.0,0.0,179.8,11.24,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},78.79,C+
2 - 1,11,Stefon Diggs,WR,THE BIGMADBLUE,0.0,0.0,221.8,13.05,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},78.65,C+
15 - 8,148,Matthew Stafford,QB,Team HebAchi,0.0,0.0,221.6,14.77,15,{49094F84-F849-4173-B052-21E1CDEDB4EF},78.64,C+
17 - 10,170,Greg Zuerlein,K,Amon a Mission,134.11,7.89,139.0,8.69,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},78.35,C+
14 - 1,131,Jake Ferguson,TE,Amon a Mission,0.0,0.0,141.6,8.33,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},78.13,C+
1 - 6,6,Travis Kelce,TE,Kelce You Again!,0.0,0.0,172.9,11.53,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},78.11,C+
1 - 8,8,Derrick Henry,RB,Team HebAchi,0.0,0.0,232.66,13.69,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},78.05,C+
1 - 2,2,Ja'Marr Chase,WR,Wakanda Forever,0.0,0.0,217.22,13.58,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},77.94,C+
6 - 10,60,Trevor Lawrence,QB,Team CTE,0.0,0.0,238.54,14.91,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},77.89,C+
5 - 2,42,Amari Cooper,WR,Wakanda Forever,0.0,0.0,194.5,12.97,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},77.81,C+
8 - 2,72,Javonte Williams,RB,Bhambhwani Pawan Dilip,0.0,0.0,155.7,9.73,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},77.68,C+
12 - 7,117,Tyler Allgeier,RB,THE BIGMADBLUE,0.0,0.0,130.1,7.65,17,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},77.64,C+
2 - 2,12,Davante Adams,WR,Bhambhwani Pawan Dilip,0.0,0.0,214.4,12.61,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},77.49,C+
5 - 3,43,DeAndre Hopkins,WR,Pain Inflictors,0.0,0.0,188.6,11.09,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},77.39,C+
4 - 8,38,Calvin Ridley,WR,Pain Inflictors,0.0,0.0,193.4,11.38,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},77.28,C+
14 - 9,139,Evan McPherson,K,Wakanda Forever,0.0,0.0,140.0,8.24,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},77.24,C+
8 - 8,78,Terry McLaurin,WR,Pain Inflictors,0.0,0.0,169.7,9.98,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},77.02,C+
3 - 7,27,DK Metcalf,WR,Brown Munde,0.0,0.0,193.9,12.12,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},76.89,C
16 - 6,156,Younghoe Koo,K,Run CMC,135.31,7.96,135.0,7.94,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},76.88,C
11 - 2,102,49ers D/ST,D/ST,Wakanda Forever,0.0,0.0,157.1,9.24,17,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},76.46,C
4 - 10,40,Chris Olave,WR,Team CTE,183.0,12.2,187.8,11.74,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},76.45,C
1 - 9,9,Bijan Robinson,RB,Bhambhwani Pawan Dilip,0.0,0.0,219.6,12.92,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},76.29,C
13 - 10,130,Russell Wilson,QB,Amon a Mission,0.0,0.0,220.9,14.73,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},76.23,C
13 - 9,129,Saints D/ST,D/ST,Bhambhwani Pawan Dilip,0.0,0.0,152.3,8.96,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},76.22,C
15 - 7,147,Geno Smith,QB,Brown Munde,0.0,0.0,203.76,13.58,15,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},76.05,C
3 - 6,26,DeVonta Smith,WR,Kelce You Again!,0.0,0.0,188.6,11.79,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},76.0,C
7 - 2,62,Jonathan Taylor,RB,Wakanda Forever,0.0,0.0,147.4,14.74,10,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},75.09,C
8 - 5,75,Courtland Sutton,WR,Kelce You Again!,0.0,0.0,161.7,10.11,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},75.06,C
7 - 6,66,Antonio Gibson,RB,Kelce You Again!,0.0,0.0,137.4,8.59,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},74.89,C
3 - 2,22,Patrick Mahomes,QB,Wakanda Forever,0.0,0.0,256.72,16.05,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},74.73,C
5 - 5,45,Justin Herbert,QB,Run CMC,0.0,0.0,209.66,16.13,13,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},74.69,C
16 - 2,152,Tyler Bass,K,Bhambhwani Pawan Dilip,137.72,8.1,128.0,7.53,17,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},74.61,C
7 - 10,70,Tyler Lockett,WR,Amon a Mission,0.0,0.0,162.9,9.58,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.33,C
2 - 5,15,Tony Pollard,RB,Kelce You Again!,0.0,0.0,195.1,11.48,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},74.26,C
