Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Kyren Williams,RB,Team HebAchi,0.0,0.0,241.9,20.16,12,{49094F84-F849-4173-B052-21E1CDEDB4EF},94.14,A
Puka Nacua,WR,Pain Inflictors,0.0,0.0,247.5,14.56,17,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},91.18,A-
Brandon Aubrey,K,Kelce You Again!,129.19,7.6,176.0,10.35,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},86.8,B
Brock Purdy,QB,Kelce You Again!,0.0,0.0,283.1,17.69,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.94,B
Rashid Shaheed,WR,THE BIGMADBLUE,0.0,0.0,206.9,13.79,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},84.47,B
Gus Edwards,RB,Run CMC,0.0,0.0,181.0,10.65,17,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},83.37,B
Jayden Reed,WR,THE BIGMADBLUE,0.0,0.0,194.6,12.16,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},82.43,B-
C.J. Stroud,QB,Team CTE,0.0,0.0,254.02,16.93,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},81.43,B-
Baker Mayfield,QB,Brown Munde,0.0,0.0,244.56,14.39,17,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},80.29,B-
Chuba Hubbard,RB,Team HebAchi,0.0,0.0,163.0,9.59,17,{49094F84-F849-4173-B052-21E1CDEDB4EF},80.19,B-
Trey McBride,TE,Kelce You Again!,54.93,3.66,141.0,8.29,17,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},79.93,C+
Devin Singletary,RB,Team CTE,0.0,0.0,161.34,9.49,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},79.9,C+
Raiders D/ST,D/ST,Team CTE,0.0,0.0,152.1,8.95,17,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},79.42,C+
