Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Will Reichard,K,Groot-o-Matic,133.17,7.83,150.0,9.38,16,100.0,A+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Bradley Pinion,P,Groot-o-Matic,154.86,9.11,159.5,9.97,16,98.47,A+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Cairo Santos,K,Team CTE,141.61,8.33,128.0,9.14,14,97.87,A+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Jason Myers,K,Wakanda Forever,137.63,8.1,191.0,11.94,16,97.13,A+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Zach Charbonnet,RB,The Chase is on,122.4,7.2,154.2,10.28,15,95.16,A,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Juwan Johnson,TE,Pain Inflictors,91.52,5.38,135.8,8.49,16,93.21,A,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Matthew Stafford,QB,BB,248.21,14.6,309.22,19.33,16,91.89,A-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Cam Little,K,The Chase is on,136.94,8.06,148.0,9.25,16,90.06,A-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Khalil Shakir,WR,Obi-Wan Jakobi,157.07,9.24,132.4,8.28,16,88.97,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Tyler Loop,K,Obi-Wan Jakobi,137.83,8.11,135.0,8.44,16,88.44,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Wan'Dale Robinson,WR,Brown Munde,118.37,6.96,171.9,10.74,16,88.31,B+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Kareem Hunt,RB,Brown Munde,88.86,5.23,131.4,8.21,16,88.0,B+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Chiefs D/ST,D/ST,Team CTE,148.6,8.74,130.2,8.14,16,87.28,B+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Sam Martin,P,BB,170.04,10.0,168.5,10.53,16,87.28,B+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Bears D/ST,D/ST,The Chase is on,140.58,8.27,136.8,8.55,16,85.49,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Jeremy Crawshaw,P,Wakanda Forever,156.87,9.23,161.5,10.09,16,84.23,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Michael Carter,RB,Team CTE,0.0,0.0,77.1,6.42,12,82.38,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Ryan Wright,P,Pain Inflictors,148.35,8.73,158.5,9.91,16,82.13,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Hunter Henry,TE,Team HebAchi,120.37,7.08,140.7,8.79,16,81.93,B-,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Rico Dowdle,RB,Pain Inflictors,73.41,4.32,194.8,12.18,16,81.85,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Michael Wilson,WR,Groot-o-Matic,92.72,5.45,163.2,10.2,16,81.44,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
