Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 9,9,Christian McCaffrey,RB,The Bill Croskey Show,318.41,18.73,404.9,25.31,16,100.0,A+,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
4 - 4,40,Jaxon Smith-Njigba,WR,The Bill Croskey Show,240.91,14.17,345.5,21.59,16,100.0,A+,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
1 - 8,8,Puka Nacua,WR, Johnny  Dramas ,298.63,17.57,349.0,23.27,15,100.0,A+,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
1 - 4,4,Bijan Robinson,RB,Dennis The Menace ,339.37,19.96,363.5,22.72,16,100.0,A+,{72E06046-9EEC-4999-A060-469EEC399959}
2 - 12,24,Jonathan Taylor,RB,Cowtown Cowboys,288.77,16.99,356.4,22.27,16,100.0,A+,{ED820BF3-C942-4041-820B-F3C9425041D9}
1 - 5,5,Jahmyr Gibbs,RB,U Lost to a Red Bull Rookie,317.28,18.66,346.6,21.66,16,98.07,A+,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
3 - 3,27,Josh Allen,QB,"No, This Is Patrick!",367.87,21.64,364.62,22.79,16,96.45,A,{95F44A62-C032-49BB-9961-F1B40077DCE9}
2 - 6,18,De'Von Achane,RB,Red Bulls On Parade,307.53,18.09,322.8,20.18,16,96.11,A,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
3 - 9,33,Trey McBride,TE,The Bill Croskey Show,259.22,15.25,302.4,18.9,16,95.07,A,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
5 - 7,55,George Pickens,WR,Red Bulls On Parade,221.36,13.02,290.0,18.12,16,94.97,A,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
10 - 4,112,Drake Maye,QB,The Bill Croskey Show,285.26,16.78,336.22,21.01,16,94.17,A,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
13 - 12,156,Matthew Stafford,QB,Frisco Full Can Field Goals 🏈,274.08,16.12,323.72,20.23,16,93.15,A,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
1 - 10,10,Amon-Ra St. Brown,WR,Kill Bills ,290.6,17.09,299.1,18.69,16,93.07,A,{1BA8396F-D6D7-448B-870B-539450FA06F7}
1 - 1,1,Ja'Marr Chase,WR,Cowtown Cowboys,340.02,20.0,290.0,19.33,15,92.96,A-,{ED820BF3-C942-4041-820B-F3C9425041D9}
3 - 5,29,James Cook III,RB,U Lost to a Red Bull Rookie,269.9,15.88,300.7,18.79,16,92.59,A-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
13 - 9,153,Trevor Lawrence,QB,The Bill Croskey Show,279.32,16.43,314.88,19.68,16,92.04,A-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
11 - 8,128,Dak Prescott,QB, Johnny  Dramas ,285.8,16.81,313.08,19.57,16,91.32,A-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
7 - 2,74,Chris Olave,WR,Claytons Team of Experts,209.82,12.34,268.0,16.75,16,90.39,A-,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
9 - 5,101,Bo Nix,QB,U Lost to a Red Bull Rookie,301.89,17.76,294.3,18.39,16,90.28,A-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
4 - 8,44,Patrick Mahomes,QB,U Lost to a Red Bull Rookie,324.92,19.11,285.68,20.41,14,90.22,A-,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
11 - 4,124,Caleb Williams,QB,Dennis The Menace ,279.79,16.46,301.6,18.85,16,89.9,B+,{72E06046-9EEC-4999-A060-469EEC399959}
2 - 7,19,Derrick Henry,RB,Cans in My Hands,281.74,16.57,266.9,16.68,16,88.7,B+,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
3 - 6,30,Jalen Hurts,QB,Cans in My Hands,365.49,21.5,299.06,18.69,16,88.56,B+,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
3 - 1,25,Chase Brown,RB,Cowtown Cowboys,281.22,16.54,263.6,16.48,16,87.78,B+,{ED820BF3-C942-4041-820B-F3C9425041D9}
10 - 10,118,Justin Herbert,QB,"No, This Is Patrick!",284.48,16.73,286.88,17.93,16,87.32,B+,{95F44A62-C032-49BB-9961-F1B40077DCE9}
11 - 1,121,Jared Goff,QB,Cowtown Cowboys,260.45,15.32,281.82,17.61,16,87.25,B+,{ED820BF3-C942-4041-820B-F3C9425041D9}
2 - 3,15,Kyren Williams,RB,Kill Bills ,284.05,16.71,252.2,15.76,16,86.83,B,{1BA8396F-D6D7-448B-870B-539450FA06F7}
9 - 11,107,Javonte Williams,RB,I'm Sorry Mrs. Jackson,217.23,12.78,242.8,15.18,16,85.86,B,{71372B03-57FD-4FCB-AA0B-69957655412D}
10 - 7,115,Travis Etienne Jr.,RB,Cans in My Hands,188.14,11.07,249.1,15.57,16,85.42,B,{72229BCA-0BDD-40B0-82E9-ACB1D4104500}
4 - 5,41,Davante Adams,WR, Johnny  Dramas ,257.07,15.12,222.9,15.92,14,85.27,B,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
2 - 9,21,Josh Jacobs,RB,Dennis The Menace ,282.87,16.64,237.1,15.81,15,85.11,B,{72E06046-9EEC-4999-A060-469EEC399959}
7 - 1,73,Baker Mayfield,QB,Cowtown Cowboys,310.96,18.29,258.7,16.17,16,84.65,B,{ED820BF3-C942-4041-820B-F3C9425041D9}
5 - 9,57,D'Andre Swift,RB,The Bill Croskey Show,226.78,13.34,222.8,14.85,15,84.63,B,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
5 - 3,51,Courtland Sutton,WR,"No, This Is Patrick!",227.59,13.39,218.2,13.64,16,84.21,B,{95F44A62-C032-49BB-9961-F1B40077DCE9}
1 - 11,11,Nico Collins,WR,I'm Sorry Mrs. Jackson,289.12,17.01,226.2,15.08,15,83.6,B,{71372B03-57FD-4FCB-AA0B-69957655412D}
5 - 5,53,Zay Flowers,WR,U Lost to a Red Bull Rookie,232.52,13.68,213.5,13.34,16,83.35,B,{DC54E68B-78AB-440A-9F0D-63BD7172C682}
1 - 3,3,Saquon Barkley,RB,"No, This Is Patrick!",325.99,19.18,232.3,14.52,16,83.35,B,{95F44A62-C032-49BB-9961-F1B40077DCE9}
1 - 7,7,Ashton Jeanty,RB,Red Bulls On Parade,302.03,17.77,232.7,14.54,16,83.22,B,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
8 - 3,87,Stefon Diggs,WR,Kill Bills ,160.77,9.46,203.0,12.69,16,83.13,B,{1BA8396F-D6D7-448B-870B-539450FA06F7}
