Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Kenneth Gainwell,RB, Johnny  Dramas ,192.81,11.34,199.9,12.49,16,100.0,A+,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Rico Dowdle,RB,Claytons Team of Experts,83.95,4.94,213.3,13.33,16,99.94,A+,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
Quentin Johnston,WR,Claytons Team of Experts,163.92,9.64,171.2,12.23,14,96.27,A,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
Jason Myers,K,Red Bulls On Parade,135.81,7.99,189.0,11.81,16,95.92,A,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
Brandon McManus,K,Claytons Team of Experts,134.81,7.93,103.0,7.92,13,95.08,A,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56}
Dalton Schultz,TE,Dennis The Menace ,126.05,7.41,166.4,10.4,16,94.67,A,{72E06046-9EEC-4999-A060-469EEC399959}
Saints D/ST,D/ST,Cowtown Cowboys,65.82,3.87,95.0,5.94,16,93.5,A,{ED820BF3-C942-4041-820B-F3C9425041D9}
Aaron Rodgers,QB, Johnny  Dramas ,232.61,13.68,209.32,13.95,15,92.13,A-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Jaguars D/ST,D/ST,Frisco Full Can Field Goals 🏈,87.76,5.16,107.0,6.69,16,91.77,A-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Rams D/ST,D/ST,"No, This Is Patrick!",100.98,5.94,107.0,6.69,16,91.41,A-,{95F44A62-C032-49BB-9961-F1B40077DCE9}
Zach Charbonnet,RB,The Bill Croskey Show,137.02,8.06,162.7,10.85,15,86.09,B,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Andy Borregales,K,"No, This Is Patrick!",126.16,7.42,133.0,8.31,16,83.85,B,{95F44A62-C032-49BB-9961-F1B40077DCE9}
Kareem Hunt,RB,Red Bulls On Parade,99.97,5.88,138.9,8.68,16,83.37,B,{D6421CA2-74FC-4D39-821C-A274FC9D39FE}
