Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
2 - 5,15,Christian McCaffrey,RB,Ler of the Rings,282.63,16.63,356.9,22.31,16,100.0,A+,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
2 - 6,16,Jonathan Taylor,RB,Hall Pass,272.45,16.03,334.4,20.9,16,100.0,A+,{9417088B-0880-4F8A-A127-759BF41D4603}
1 - 2,2,Bijan Robinson,RB,Hunks of Hanet ,308.13,18.13,325.5,20.34,16,100.0,A+,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
4 - 6,36,Josh Allen,QB,Hall Pass,367.87,21.64,364.62,22.79,16,99.25,A+,{9417088B-0880-4F8A-A127-759BF41D4603}
1 - 9,9,Puka Nacua,WR,Natural rack,246.01,14.47,289.5,19.3,15,98.98,A+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
1 - 6,6,Jahmyr Gibbs,RB,Ler of the Rings,287.11,16.89,309.6,19.35,16,98.34,A+,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
12 - 2,112,Drake Maye,QB,Natural rack,285.26,16.78,335.72,20.98,16,98.17,A+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
4 - 9,39,Jaxon Smith-Njigba,WR,Hunks of Hanet ,196.67,11.57,289.0,18.06,16,97.42,A+,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
1 - 10,10,De'Von Achane,RB,Mhoney Hurts So Good,270.33,15.9,289.3,18.08,16,95.49,A,{5918A112-DDF9-4368-8414-A143EC58B846}
12 - 1,111,Dak Prescott,QB,Mhoney Hurts So Good,285.8,16.81,313.08,19.57,16,95.17,A,{5918A112-DDF9-4368-8414-A143EC58B846}
13 - 2,122,Caleb Williams,QB,Hunks of Hanet ,279.79,16.46,300.6,18.79,16,94.94,A,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
4 - 1,31,James Cook III,RB,Mhoney Hurts So Good,251.61,14.8,284.2,17.76,16,94.42,A,{5918A112-DDF9-4368-8414-A143EC58B846}
3 - 1,21,Jalen Hurts,QB,Chicken’s Cougars ,365.49,21.5,299.06,18.69,16,92.91,A-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
3 - 9,29,Trey McBride,TE,Natural rack,202.67,11.92,242.9,15.18,16,92.82,A-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
13 - 6,126,Jared Goff,QB,Ler of the Rings,260.45,15.32,281.82,17.61,16,92.04,A-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
1 - 7,7,Amon-Ra St. Brown,WR,Jockstrap jubilee ,232.27,13.66,246.1,15.38,16,92.01,A-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
2 - 9,19,Derrick Henry,RB,Hunks of Hanet ,272.8,16.05,259.4,16.21,16,91.57,A-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
7 - 10,70,Bo Nix,QB,Mhoney Hurts So Good,301.89,17.76,294.3,18.39,16,91.56,A-,{5918A112-DDF9-4368-8414-A143EC58B846}
4 - 7,37,Patrick Mahomes,QB,Big Ballsy Bozos,324.92,19.11,285.18,20.37,14,91.44,A-,{9B611343-247D-458B-88C3-50BB33789365}
7 - 9,69,George Pickens,WR,Natural rack,185.27,10.9,244.0,15.25,16,91.38,A-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
9 - 7,87,Chris Olave,WR,Jockstrap jubilee ,168.18,9.89,218.0,13.62,16,91.36,A-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
1 - 1,1,Ja'Marr Chase,WR,Chicken’s Cougars ,281.68,16.57,231.5,15.43,15,90.69,A-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
11 - 7,107,Justin Herbert,QB,Jockstrap jubilee ,284.48,16.73,286.88,17.93,16,89.87,B+,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
10 - 2,92,Javonte Williams,RB,Natural rack,196.87,11.58,225.3,14.08,16,88.85,B+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
3 - 4,24,Kyren Williams,RB,Big Ballsy Bozos,266.29,15.66,235.7,14.73,16,88.57,B+,{9B611343-247D-458B-88C3-50BB33789365}
2 - 10,20,Chase Brown,RB,Chicken’s Cougars ,249.03,14.65,231.1,14.44,16,87.4,B+,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
9 - 9,89,Brandon Aubrey,K,Natural rack,142.15,8.36,180.6,11.29,16,86.96,B,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
7 - 7,67,Baker Mayfield,QB,Jockstrap jubilee ,310.96,18.29,258.7,16.17,16,86.85,B,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
2 - 8,18,Josh Jacobs,RB,Sacks in the City,262.2,15.42,219.1,14.61,15,86.34,B,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
11 - 6,106,Travis Etienne Jr.,RB,Ler of the Rings,164.06,9.65,231.6,14.47,16,86.16,B,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
14 - 6,136,Jordan Love,QB,Hall Pass,264.55,15.56,235.14,15.68,15,85.96,B,{9417088B-0880-4F8A-A127-759BF41D4603}
15 - 4,144,Seahawks D/ST,D/ST,Big Ballsy Bozos,121.19,7.13,173.0,10.81,16,85.78,B,{9B611343-247D-458B-88C3-50BB33789365}
3 - 6,26,Davante Adams,WR,Ler of the Rings,214.54,12.62,192.9,13.78,14,85.17,B,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
1 - 4,4,Saquon Barkley,RB,Big Ballsy Bozos,302.19,17.78,213.8,13.36,16,85.01,B,{9B611343-247D-458B-88C3-50BB33789365}
7 - 1,61,Brock Purdy,QB,Chicken’s Cougars ,306.21,18.01,172.2,21.52,8,84.77,B,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
6 - 3,53,Courtland Sutton,WR,Case Closed ,190.02,11.18,181.7,11.36,16,84.57,B,{1EC10606-80E9-4A6D-A618-E448864CAA58}
3 - 7,27,D'Andre Swift,RB,Jockstrap jubilee ,208.19,12.25,206.3,13.75,15,84.57,B,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
9 - 6,86,Jaylen Warren,RB,Ler of the Rings,220.23,12.95,184.7,12.31,15,84.13,B,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
2 - 3,13,Nico Collins,WR,Case Closed ,239.0,14.06,190.7,12.71,15,84.07,B,{1EC10606-80E9-4A6D-A618-E448864CAA58}
1 - 8,8,Ashton Jeanty,RB,Case Closed ,270.68,15.92,206.7,12.92,16,83.75,B,{1EC10606-80E9-4A6D-A618-E448864CAA58}
15 - 7,147,Cameron Dicker,K,Jockstrap jubilee ,143.93,8.47,164.0,10.25,16,83.51,B,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
