Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Harold Fannin Jr.,TE,Big Ballsy Bozos,41.68,2.45,150.4,9.4,16,100.0,A+,{9B611343-247D-458B-88C3-50BB33789365}
Trevor Lawrence,QB,Big Ballsy Bozos,279.32,16.43,314.88,19.68,16,96.07,A,{9B611343-247D-458B-88C3-50BB33789365}
Alec Pierce,WR,Hunks of Hanet ,58.74,3.46,132.6,9.47,14,92.41,A-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Matthew Stafford,QB,Ler of the Rings,274.08,16.12,323.72,20.23,16,90.44,A-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
Jason Myers,K,Natural rack,136.51,8.03,189.0,11.81,16,88.24,B+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
Kenneth Gainwell,RB,Natural rack,177.08,10.42,167.4,10.46,16,88.21,B+,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
Dalton Schultz,TE,Hall Pass,99.79,5.87,127.4,7.96,16,85.7,B,{9417088B-0880-4F8A-A127-759BF41D4603}
Kareem Hunt,RB,Mhoney Hurts So Good,88.63,5.21,131.4,8.21,16,85.46,B,{5918A112-DDF9-4368-8414-A143EC58B846}
Colts D/ST,D/ST,Jockstrap jubilee ,111.49,6.56,82.0,5.12,16,84.61,B,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
Wan'Dale Robinson,WR,Sacks in the City,118.26,6.96,171.9,10.74,16,82.51,B-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Hunter Henry,TE,Mhoney Hurts So Good,120.23,7.07,140.7,8.79,16,81.42,B-,{5918A112-DDF9-4368-8414-A143EC58B846}
Falcons D/ST,D/ST,Jockstrap jubilee ,71.73,4.22,105.0,6.56,16,80.17,B-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
Jaguars D/ST,D/ST,Case Closed ,87.31,5.14,124.0,7.75,16,79.1,C+,{1EC10606-80E9-4A6D-A618-E448864CAA58}
Rico Dowdle,RB,Hunks of Hanet ,73.19,4.31,194.8,12.18,16,77.16,C+,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Zach Ertz,TE,Ler of the Rings,112.98,6.65,101.4,7.8,13,77.1,C+,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
Juwan Johnson,TE,Mhoney Hurts So Good,91.39,5.38,135.8,8.49,16,76.85,C,{5918A112-DDF9-4368-8414-A143EC58B846}
Buccaneers D/ST,D/ST,Sacks in the City,106.06,6.24,80.0,5.0,16,76.77,C,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Michael Wilson,WR,Mhoney Hurts So Good,92.55,5.44,163.2,10.2,16,75.19,C,{5918A112-DDF9-4368-8414-A143EC58B846}
Jaxson Dart,QB,Natural rack,132.17,14.69,221.18,17.01,13,73.45,C,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
Bills D/ST,D/ST,Hunks of Hanet ,100.27,5.9,110.0,6.88,16,71.69,C-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Joe Flacco,QB,Ler of the Rings,103.64,12.96,146.46,12.2,12,71.51,C-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
Patriots D/ST,D/ST,Natural rack,101.44,5.97,119.0,7.44,16,71.26,C-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
Kyle Monangai,RB,Jockstrap jubilee ,47.46,2.79,132.3,8.27,16,70.38,C-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
Tyler Loop,K,Hunks of Hanet ,140.26,8.25,134.0,8.38,16,70.29,C-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Daniel Jones,QB,Sacks in the City,212.97,16.38,226.44,17.42,13,68.68,D+,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Dylan Sampson,RB,Mhoney Hurts So Good,175.65,10.33,65.7,4.69,14,68.24,D+,{5918A112-DDF9-4368-8414-A143EC58B846}
Woody Marks,RB,Ler of the Rings,61.54,3.62,133.3,8.89,15,66.66,D,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
Saints D/ST,D/ST,Mhoney Hurts So Good,62.14,3.66,115.0,7.19,16,64.78,D,{5918A112-DDF9-4368-8414-A143EC58B846}
Romeo Doubs,WR,Natural rack,103.18,6.07,137.9,8.62,16,64.09,D,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
Adonai Mitchell,WR,Sacks in the City,70.66,4.16,71.4,4.76,15,61.65,D-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Jacoby Brissett,QB,Big Ballsy Bozos,2.24,0.13,211.82,16.29,13,56.66,F-,{9B611343-247D-458B-88C3-50BB33789365}
Harrison Mevis,K,Jockstrap jubilee ,0.0,0.0,66.0,8.25,8,54.05,F-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
Kimani Vidal,RB,Sacks in the City,0.0,0.0,108.4,9.03,12,50.21,F-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Aaron Rodgers,QB,Case Closed ,232.61,13.68,208.82,13.92,15,43.62,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
Christian Watson,WR,Big Ballsy Bozos,43.12,4.31,114.9,11.49,10,39.78,F-,{9B611343-247D-458B-88C3-50BB33789365}
Elic Ayomanor,WR,Jockstrap jubilee ,71.81,4.22,89.5,5.97,15,38.72,F-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
Darnell Washington,TE,Sacks in the City,10.64,0.63,57.9,3.62,16,38.59,F-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
Bam Knight,RB,Case Closed ,5.58,0.33,81.9,6.83,12,34.66,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
Emanuel Wilson,RB,Hunks of Hanet ,29.25,1.72,81.7,5.11,16,20.49,F-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
Devin Neal,RB,Hall Pass,47.84,2.81,51.5,5.15,10,10.0,F-,{9417088B-0880-4F8A-A127-759BF41D4603}
