Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 6,6,Christian McCaffrey,RB,Christian McCalf-Injury,318.69,18.75,404.9,25.31,16,100.0,A+,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
4 - 6,42,Jaxon Smith-Njigba,WR,Eli,241.11,14.18,345.5,21.59,16,100.0,A+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
2 - 2,14,Jonathan Taylor,RB,Philadelphia Bills Mafia,289.22,17.01,358.4,22.4,16,100.0,A+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
1 - 1,1,Bijan Robinson,RB,PAI Alcoholics Anonymous ,339.77,19.99,363.5,22.72,16,100.0,A+,{0CE04EAF-1603-4259-869A-A567F9953F44}
1 - 11,11,Puka Nacua,WR,Philadelphia Bills Mafia,298.97,17.59,351.0,23.4,15,99.32,A+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
1 - 5,5,Jahmyr Gibbs,RB,Prahlad's Ghost,317.55,18.68,348.6,21.79,16,98.39,A+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
3 - 1,25,Josh Allen,QB,PAI Alcoholics Anonymous ,368.72,21.69,364.62,22.79,16,95.31,A,{0CE04EAF-1603-4259-869A-A567F9953F44}
8 - 11,95,Drake Maye,QB,Daddy's Finally Home,285.93,16.82,336.22,21.01,16,95.11,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
1 - 12,12,De'Von Achane,RB,cman,307.74,18.1,322.8,20.18,16,95.11,A,{3038B793-C0D8-4773-82BA-30F522EA1C1A}
2 - 8,20,Trey McBride,TE,Prahlad's Ghost,259.41,15.26,302.4,18.9,16,94.2,A,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
13 - 10,154,Matthew Stafford,QB,Red Zone Risk Assessors,275.28,16.19,325.72,20.36,16,93.51,A,{6FB8D500-4E34-47B8-9028-B156BEC56621}
11 - 5,125,Dak Prescott,QB,Prahlad's Ghost,286.98,16.88,313.08,19.57,16,93.33,A,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
3 - 7,31,James Cook III,RB,Eli,270.17,15.89,302.7,18.92,16,93.26,A,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
1 - 8,8,Amon-Ra St. Brown,WR,19th St Halal Cart,290.88,17.11,299.1,18.69,16,92.4,A-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
1 - 2,2,Ja'Marr Chase,WR,Daddy's Finally Home,340.41,20.02,290.0,19.33,15,92.14,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 10,82,George Pickens,WR,Red Zone Risk Assessors,221.53,13.03,290.0,18.12,16,92.1,A-,{6FB8D500-4E34-47B8-9028-B156BEC56621}
5 - 3,51,Patrick Mahomes,QB,1900 Sleepers,326.08,19.18,285.68,20.41,14,90.2,A-,{FB64662C-A6C7-423B-B6EE-231900310D44}
2 - 6,18,Derrick Henry,RB,Eli,282.15,16.6,268.9,16.81,16,89.57,B+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
7 - 11,83,Chris Olave,WR,Philadelphia Bills Mafia,209.99,12.35,268.0,16.75,16,89.03,B+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
2 - 11,23,Chase Brown,RB,Daddy's Finally Home,281.44,16.56,263.6,16.48,16,88.68,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 10,118,Caleb Williams,QB,1900 Sleepers,280.57,16.5,301.6,18.85,16,87.87,B+,{FB64662C-A6C7-423B-B6EE-231900310D44}
