Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Jason Myers,K,PAI Alcoholics Anonymous ,118.13,6.95,151.0,8.88,17,100.0,A+,{0CE04EAF-1603-4259-869A-A567F9953F44}
Geno Smith,QB,Book of MoreMoms,120.88,12.09,257.88,15.17,17,94.47,A,{5E530C03-3F19-48F0-A309-52B769E76347}
Zay Jones,WR,Book of MoreMoms,89.14,5.57,157.1,9.82,16,90.5,A-,{5E530C03-3F19-48F0-A309-52B769E76347}
Brett Maher,K,Came and Wentz,121.11,7.12,156.0,9.18,17,89.44,B+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Evan Engram,TE,PAI Athletic Director,99.1,6.61,140.4,8.26,17,84.42,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Mack Hollins,WR,Came and Wentz,67.51,4.22,125.66,7.39,17,84.35,B,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Giants D/ST,D/ST,PAI Athletic Director,84.38,4.96,96.0,5.65,17,83.43,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Parris Campbell,WR,19th St Halal Cart,80.54,5.75,117.6,6.92,17,82.66,B-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Jets D/ST,D/ST,Rizzo's Crash Test Dummy,80.8,4.75,133.0,7.82,17,80.58,B-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Graham Gano,K,Philadelphia British Army,129.01,7.59,137.0,8.06,17,79.71,C+,{65213399-AD95-4113-B087-DAB0440DEF10}
Isiah Pacheco,RB,19th St Halal Cart,59.15,3.94,128.5,7.56,17,77.38,C+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Chiefs D/ST,D/ST,Book of MoreMoms,64.77,3.81,124.0,7.29,17,77.29,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
Darius Slayton,WR,I'd_Tap_ That,13.17,0.88,105.4,6.59,16,77.25,C+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Daniel Jones,QB,Girth Brooks,215.65,14.38,245.0,15.31,16,76.89,C,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Joshua Palmer,WR,Rizzo's Crash Test Dummy,123.7,7.73,133.3,8.33,16,76.13,C,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Chase McLaughlin,K,Philadelphia British Army,0.0,0.0,128.0,8.0,16,76.11,C,{65213399-AD95-4113-B087-DAB0440DEF10}
Latavius Murray,RB,I'd_Tap_ That,0.0,0.0,140.7,10.82,13,75.96,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Andy Dalton,QB,PAI Alcoholics Anonymous ,25.32,6.33,149.24,10.66,14,75.65,C,{0CE04EAF-1603-4259-869A-A567F9953F44}
D'Onta Foreman,RB,PAI Athletic Director,63.88,4.26,128.5,7.56,17,74.77,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jeff Wilson Jr.,RB,I'd_Tap_ That,45.26,3.02,147.5,9.22,16,74.67,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Jerick McKinnon,RB,Team Corner Office,72.89,5.61,168.3,9.9,17,74.66,C,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Donovan Peoples-Jones,WR,Rizzo's Crash Test Dummy,87.74,5.48,136.6,8.04,17,74.01,C,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Michael Gallup,WR,I'd_Tap_ That,131.9,9.42,85.9,6.14,14,72.93,C-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Ryan Succop,K,PAI Athletic Director,120.07,7.06,121.0,7.12,17,72.28,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Robbie Gould,K,Team Corner Office,124.39,7.32,130.0,7.65,17,72.02,C-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Titans D/ST,D/ST,Philadelphia British Army,88.57,5.21,94.0,5.53,17,71.91,C-,{65213399-AD95-4113-B087-DAB0440DEF10}
Bengals D/ST,D/ST,Came and Wentz,112.6,6.62,110.0,6.88,16,71.14,C-,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Gerald Everett,TE,Team Corner Office,102.47,6.4,110.5,6.91,16,71.02,C-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Christian Watson,WR,I'd_Tap_ That,91.14,5.7,143.6,10.26,14,70.22,C-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Cairo Santos,K,PAI Alcoholics Anonymous ,116.09,6.83,96.0,6.0,16,69.3,D+,{0CE04EAF-1603-4259-869A-A567F9953F44}
Chuba Hubbard,RB,Rizzo's Crash Test Dummy,60.38,4.03,80.7,5.38,15,69.0,D+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Terrace Marshall Jr.,WR,PAI Alcoholics Anonymous ,28.15,1.76,69.0,4.93,14,68.66,D+,{0CE04EAF-1603-4259-869A-A567F9953F44}
Rachaad White,RB,The Golden Receivers,83.82,5.59,114.1,6.71,17,67.97,D+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Juwan Johnson,TE,Girth Brooks,3.47,0.23,113.8,7.11,16,67.92,D+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Samaje Perine,RB,I'd_Tap_ That,78.4,5.23,123.1,7.69,16,67.81,D+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Broncos D/ST,D/ST,Team Corner Office,94.56,5.56,111.0,6.53,17,67.75,D+,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Gus Edwards,RB,The Golden Receivers,78.12,7.1,59.3,6.59,9,67.61,D+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Taysom Hill,TE,Team Corner Office,68.8,4.3,139.3,8.71,16,67.5,D+,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Foster Moreau,TE,Philadelphia British Army,42.97,2.69,68.7,4.58,15,64.67,D,{65213399-AD95-4113-B087-DAB0440DEF10}
K.J. Osborn,WR,Team Cogs,112.15,7.01,125.6,7.39,17,64.22,D,{91828F94-1966-4B65-828F-9419663B65D8}
Jaguars D/ST,D/ST,Team Cogs,66.47,3.91,124.0,7.29,17,63.35,D,{91828F94-1966-4B65-828F-9419663B65D8}
Odell Beckham Jr.,WR,Girth Brooks,0.0,0.0,0.0,0.0,0,59.5,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Dolphins D/ST,D/ST,Girth Brooks,113.78,6.69,98.0,5.76,17,58.89,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Daniel Bellinger,TE,Came and Wentz,46.4,2.9,60.0,5.0,12,58.7,F-,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Mike Boone,RB,Book of MoreMoms,13.85,0.99,24.3,2.7,9,58.69,F-,{5E530C03-3F19-48F0-A309-52B769E76347}
Deon Jackson,RB,Girth Brooks,36.33,2.42,69.5,4.34,16,58.58,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
JaMycal Hasty,RB,Team Corner Office,10.46,0.75,60.0,3.53,17,53.69,F-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Brock Purdy,QB,19th St Halal Cart,0.0,0.0,95.26,10.58,9,52.84,F-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Zonovan Knight,RB,Team Cogs,0.0,0.0,52.5,6.56,8,47.43,F-,{91828F94-1966-4B65-828F-9419663B65D8}
Hassan Haskins,RB,The Golden Receivers,42.09,2.81,20.5,1.37,15,46.33,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Corey Davis,WR,Team Corner Office,99.1,6.61,81.6,6.28,13,44.26,F-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Ty Johnson,RB,Team Corner Office,20.02,1.43,36.8,2.16,17,42.92,F-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
Jameson Williams,WR,19th St Halal Cart,76.73,8.53,14.6,2.43,6,40.72,F-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Teddy Bridgewater,QB,Came and Wentz,15.7,7.85,31.02,4.43,7,37.79,F-,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Travis Homer,RB,Rizzo's Crash Test Dummy,19.86,1.32,35.1,3.51,10,36.24,F-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Mecole Hardman,WR,Team Cogs,117.36,7.33,81.3,10.16,8,35.61,F-,{91828F94-1966-4B65-828F-9419663B65D8}
Calvin Ridley,WR,The Golden Receivers,0.0,0.0,0.0,0.0,0,33.76,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Mike White,QB,Girth Brooks,0.0,0.0,47.58,11.89,4,33.29,F-,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Zack Moss,RB,The Golden Receivers,30.4,2.03,59.0,4.54,13,30.08,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Gardner Minshew,QB,The Golden Receivers,28.63,7.16,30.82,6.16,5,26.68,F-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Julius Chestnut,RB,Team Cogs,8.23,0.59,6.8,1.13,6,10.0,F-,{91828F94-1966-4B65-828F-9419663B65D8}
