Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Drake Maye,QB,yay football woo,285.26,16.78,336.22,21.01,16,100.0,A+,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
Matthew Stafford,QB,Steenage Mutant Ninja Turtles,274.08,16.12,323.72,20.23,16,97.78,A+,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Hunter Henry,TE,Leafy Water,148.14,8.71,168.2,10.51,16,95.49,A,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
Michael Wilson,WR,Matthew Dorchak,115.81,6.81,199.7,12.48,16,94.11,A,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Harold Fannin Jr.,TE,Steenage Mutant Ninja Turtles,53.49,3.15,186.4,11.65,16,87.55,B+,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Troy Franklin,WR,The Real Kevin Nichols,79.69,4.69,177.1,11.07,16,86.72,B,{DFBF45BA-746C-4337-BF45-BA746C73373F}
Trevor Lawrence,QB,The Real Kevin Nichols,279.32,16.43,314.88,19.68,16,85.19,B,{DFBF45BA-746C-4337-BF45-BA746C73373F}
Dalton Schultz,TE,Leafy Water,126.05,7.41,166.4,10.4,16,84.21,B,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
Kyle Monangai,RB,Leafy Water,51.55,3.03,140.8,8.8,16,84.07,B,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
Romeo Doubs,WR,i just wasted $20,126.52,7.44,165.4,10.34,16,82.71,B-,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
Browns D/ST,D/ST,Matthew Golden's Goose,68.61,4.04,124.0,7.75,16,82.36,B-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
Jaguars D/ST,D/ST,i just wasted $20,87.31,5.14,124.0,7.75,16,81.05,B-,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
Rico Dowdle,RB,Matthew Dorchak,83.95,4.94,213.3,13.33,16,80.63,B-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Jordan Love,QB,Pickens Brown Hubbard @ Mahomes,264.55,15.56,235.14,15.68,15,79.35,C+,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Juwan Johnson,TE,yay football woo,117.35,6.9,172.8,10.8,16,76.71,C,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
Rams D/ST,D/ST,Leafy Water,87.74,5.16,115.0,7.19,16,76.49,C,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21}
Patriots D/ST,D/ST,Matthew Golden's Goose,101.44,5.97,119.0,7.44,16,75.47,C,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
Jared Goff,QB,yay football woo,260.45,15.32,281.82,17.61,16,75.44,C,{B6F0817B-1DC0-4E29-B020-68B8E12B6931}
Sam Darnold,QB,Pickens Brown Hubbard @ Mahomes,241.69,14.22,226.6,14.16,16,72.31,C-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Dylan Sampson,RB,Matthew Dorchak,199.2,11.72,81.2,5.8,14,72.05,C-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Christian Watson,WR,Matthew Dorchak,50.0,5.0,132.4,13.24,10,71.9,C-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Jason Myers,K,Matthew Golden's Goose,136.51,8.03,189.0,11.81,16,71.46,C-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
Cowboys D/ST,D/ST,Pickens Brown Hubbard @ Mahomes,60.15,3.54,33.0,2.06,16,71.37,C-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Woody Marks,RB,The Real Kevin Nichols,73.35,4.31,144.3,9.62,15,69.96,D+,{DFBF45BA-746C-4337-BF45-BA746C73373F}
Quinshon Judkins,RB,Kevin Nichols The Third,49.6,3.1,169.8,12.13,14,69.66,D+,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
Daniel Jones,QB,i just wasted $20,212.97,16.38,226.44,17.42,13,68.41,D+,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23}
Kenneth Gainwell,RB,Pickens Brown Hubbard @ Mahomes,193.17,11.36,199.9,12.49,16,66.84,D,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Zach Ertz,TE,Kevin Nichols The Third,141.79,8.34,126.4,9.72,13,66.48,D,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
Wil Lutz,K,Steenage Mutant Ninja Turtles,135.38,7.96,116.0,7.25,16,64.7,D,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Chimere Dike,WR,Matthew Dorchak,37.72,2.22,120.4,7.53,16,63.72,D,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Buccaneers D/ST,D/ST,Steenage Mutant Ninja Turtles,106.06,6.24,80.0,5.0,16,63.3,D,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Cairo Santos,K,Dr@ft King$,140.6,8.27,127.0,9.07,14,62.52,D-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
C.J. Stroud,QB,Pickens Brown Hubbard @ Mahomes,280.36,16.49,191.28,14.71,13,62.43,D-,{1E294587-F125-49A7-AD9D-7567C0C3DEE1}
Jaxson Dart,QB,Matthew Golden's Goose,132.17,14.69,221.18,17.01,13,61.72,D-,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1}
Shedeur Sanders,QB,Dr@ft King$,55.96,13.99,79.86,11.41,7,54.78,F-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
Theo Johnson,TE,Dr@ft King$,122.05,7.18,127.8,8.52,15,52.84,F-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
Jacoby Brissett,QB,The Real Kevin Nichols,2.24,0.13,211.82,16.29,13,52.55,F-,{DFBF45BA-746C-4337-BF45-BA746C73373F}
Giants D/ST,D/ST,Dr@ft King$,104.39,6.14,55.0,3.44,16,49.06,F-,{3389AE65-1498-46A0-8119-84AC1B8D92A9}
Adonai Mitchell,WR,Steenage Mutant Ninja Turtles,84.4,4.96,87.9,5.86,15,47.87,F-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Raiders D/ST,D/ST,Kevin Nichols The Third,58.3,3.43,55.0,3.44,16,46.58,F-,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
Michael Carter,RB,Matthew Dorchak,0.0,0.0,92.1,7.67,12,46.46,F-,{A6404CB9-25F0-4B29-804C-B925F0CB2975}
Brenton Strange,TE,Kevin Nichols The Third,139.46,8.2,100.8,9.16,11,35.19,F-,{E95CA752-6CD0-4670-853B-0AA8A2FDF295}
Chris Rodriguez Jr.,RB,Steenage Mutant Ninja Turtles,33.91,1.99,76.7,6.39,12,23.02,F-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
Devin Neal,RB,Steenage Mutant Ninja Turtles,52.1,3.06,60.0,6.0,10,10.0,F-,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528}
