Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 4,4,Christian McCaffrey,RB,Jackson's Tiktok,0.0,0.0,391.3,24.46,16,100.0,A+,{43035DAF-DDD6-4952-835D-AFDDD6195257}
2 - 7,19,CeeDee Lamb,WR,Kill Bills ,0.0,0.0,403.2,23.72,17,100.0,A+,{1BA8396F-D6D7-448B-870B-539450FA06F7}
1 - 7,7,Tyreek Hill,WR,Bear Down,0.0,0.0,376.4,23.52,16,100.0,A+,{CC0C30CA-933C-4702-B525-0B223914CD0B}
1 - 12,12,Josh Allen,QB,Toby's Favorite Employee,0.0,0.0,392.64,23.1,17,99.08,A+,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
2 - 8,20,Amon-Ra St. Brown,WR,Frisco Cougars,242.06,16.14,330.9,20.68,16,96.81,A,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
2 - 2,14,Jalen Hurts,QB,My Team Hurts,0.0,0.0,356.82,20.99,17,96.09,A,{17471759-D3C1-4206-8612-A156BCC23AA1}
14 - 1,157,Raheem Mostert,RB,Toby's Favorite Employee,0.0,0.0,267.7,17.85,15,95.13,A,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
8 - 2,86,Dak Prescott,QB,My Team Hurts,0.0,0.0,342.84,20.17,17,94.99,A,{17471759-D3C1-4206-8612-A156BCC23AA1}
15 - 10,178,Kyren Williams,RB, Johnny  Dramas ,0.0,0.0,255.0,21.25,12,94.98,A,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
5 - 1,49,Breece Hall,RB,Unicorns🦄 ,0.0,0.0,290.5,17.09,17,93.76,A,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311}
4 - 10,46,Lamar Jackson,QB,Red River Rising 💪,0.0,0.0,331.22,20.7,16,93.28,A,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
13 - 3,147,Jared Goff,QB,Red River Rising 💪,0.0,0.0,289.1,17.01,17,93.06,A,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
9 - 11,107,Nico Collins,WR,My Team Hurts,0.0,0.0,260.4,17.36,15,92.91,A-,{17471759-D3C1-4206-8612-A156BCC23AA1}
4 - 9,45,Keenan Allen,WR,Jackson's Tiktok,0.0,0.0,278.86,21.45,13,92.43,A-,{43035DAF-DDD6-4952-835D-AFDDD6195257}
3 - 7,31,Travis Etienne Jr.,RB,Bear Down,0.0,0.0,282.4,16.61,17,92.28,A-,{CC0C30CA-933C-4702-B525-0B223914CD0B}
5 - 8,56,DJ Moore,WR,Shindo ,0.0,0.0,286.5,16.85,17,91.98,A-,{16A413B2-9FE8-4937-A413-B29FE8093782}
1 - 11,11,A.J. Brown,WR,My Team Hurts,0.0,0.0,289.6,17.04,17,90.28,A-,{17471759-D3C1-4206-8612-A156BCC23AA1}
11 - 6,126,Russell Wilson,QB,Kill Bills ,0.0,0.0,256.9,17.13,15,90.04,A-,{1BA8396F-D6D7-448B-870B-539450FA06F7}
6 - 4,64,Mike Evans,WR,Bench Warmer,0.0,0.0,282.5,16.62,17,89.91,B+,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
3 - 2,26,Patrick Mahomes,QB,Dennis The Menace ,0.0,0.0,280.22,17.51,16,89.17,B+,{72E06046-9EEC-4999-A060-469EEC399959}
5 - 2,50,Alvin Kamara,RB,Dennis The Menace ,0.0,0.0,233.0,17.92,13,88.92,B+,{72E06046-9EEC-4999-A060-469EEC399959}
2 - 11,23,Joe Mixon,RB,Dennis The Menace ,0.0,0.0,267.0,15.71,17,88.69,B+,{72E06046-9EEC-4999-A060-469EEC399959}
4 - 2,38,Rachaad White,RB,My Team Hurts,0.0,0.0,267.9,15.76,17,88.62,B+,{17471759-D3C1-4206-8612-A156BCC23AA1}
1 - 6,6,Stefon Diggs,WR,Kill Bills ,0.0,0.0,273.8,16.11,17,88.42,B+,{1BA8396F-D6D7-448B-870B-539450FA06F7}
2 - 3,15,Davante Adams,WR, Johnny  Dramas ,0.0,0.0,265.4,15.61,17,87.81,B+,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
1 - 2,2,Ja'Marr Chase,WR,Dennis The Menace ,0.0,0.0,262.72,16.42,16,87.68,B+,{72E06046-9EEC-4999-A060-469EEC399959}
7 - 5,77,Michael Pittman Jr.,WR,Frisco Cougars,0.0,0.0,250.2,15.64,16,87.5,B+,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
7 - 3,75,Brandon Aiyuk,WR,Red River Rising 💪,0.0,0.0,249.2,15.58,16,87.42,B+,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
