Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Puka Nacua,WR,Kill Bills ,0.0,0.0,298.5,17.56,17,100.0,A+,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Jordan Love,QB,Jackson's Tiktok,0.0,0.0,319.06,18.77,17,84.56,B,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Sam LaPorta,TE,Bear Down,0.0,0.0,239.3,14.08,17,84.35,B,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Rashid Shaheed,WR,Red River Rising 💪,0.0,0.0,155.6,10.37,15,82.62,B-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Jason Sanders,K,Bear Down,133.72,7.87,142.0,8.35,17,82.15,B-,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Ravens D/ST,D/ST,Shindo ,0.0,0.0,172.0,10.12,17,81.89,B-,{16A413B2-9FE8-4937-A413-B29FE8093782}
Matthew Stafford,QB, Johnny  Dramas ,0.0,0.0,243.1,16.21,15,81.65,B-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Falcons D/ST,D/ST,Dennis The Menace ,0.0,0.0,92.0,5.41,17,80.64,B-,{72E06046-9EEC-4999-A060-469EEC399959}
C.J. Stroud,QB,My Team Hurts,0.0,0.0,276.02,18.4,15,79.98,C+,{17471759-D3C1-4206-8612-A156BCC23AA1}
Brandon Aubrey,K,Shindo ,131.9,7.76,180.0,10.59,17,78.0,C+,{16A413B2-9FE8-4937-A413-B29FE8093782}
Sam Howell,QB,Shindo ,0.0,0.0,257.54,15.15,17,75.83,C,{16A413B2-9FE8-4937-A413-B29FE8093782}
Jake Ferguson,TE,Toby's Favorite Employee,0.0,0.0,177.1,10.42,17,75.8,C,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Chuba Hubbard,RB,Kill Bills ,0.0,0.0,182.5,10.74,17,73.63,C,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Colts D/ST,D/ST,Red River Rising 💪,0.0,0.0,123.0,7.24,17,72.42,C-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Jake Browning,QB,Jackson's Tiktok,0.0,0.0,144.44,16.05,9,71.36,C-,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Baker Mayfield,QB,Frisco Cougars,0.0,0.0,274.06,16.12,17,71.11,C-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Buccaneers D/ST,D/ST,Unicorns🦄 ,0.0,0.0,108.0,6.35,17,70.91,C-,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311}
Zack Moss,RB,Unicorns🦄 ,0.0,0.0,169.6,12.11,14,70.25,C-,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311}
Chiefs D/ST,D/ST,My Team Hurts,0.0,0.0,140.0,8.24,17,69.67,D+,{17471759-D3C1-4206-8612-A156BCC23AA1}
Trey McBride,TE,Shindo ,70.57,4.7,181.5,10.68,17,69.27,D+,{16A413B2-9FE8-4937-A413-B29FE8093782}
Brock Purdy,QB,Shindo ,0.0,0.0,295.6,18.48,16,69.17,D+,{16A413B2-9FE8-4937-A413-B29FE8093782}
Zamir White,RB,Kill Bills ,0.0,0.0,73.9,4.35,17,68.59,D+,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Jake Moody,K, Johnny  Dramas ,0.0,0.0,127.0,7.47,17,68.35,D+,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Brandon McManus,K,Dennis The Menace ,137.74,8.1,139.0,8.18,17,68.15,D+,{72E06046-9EEC-4999-A060-469EEC399959}
Josh Downs,WR,My Team Hurts,0.0,0.0,157.1,9.24,17,66.09,D,{17471759-D3C1-4206-8612-A156BCC23AA1}
Raiders D/ST,D/ST,Jackson's Tiktok,0.0,0.0,135.0,7.94,17,65.48,D,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Dontayvion Wicks,WR,Toby's Favorite Employee,0.0,0.0,119.76,7.98,15,65.45,D,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Gerald Everett,TE,Kill Bills ,0.0,0.0,111.1,7.41,15,64.48,D,{1BA8396F-D6D7-448B-870B-539450FA06F7}
Vikings D/ST,D/ST,Dennis The Menace ,0.0,0.0,111.0,6.53,17,64.42,D,{72E06046-9EEC-4999-A060-469EEC399959}
Logan Thomas,TE, Johnny  Dramas ,96.89,6.92,126.8,7.93,16,59.95,F-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Kareem Hunt,RB,Bear Down,0.0,0.0,118.5,7.9,15,59.85,F-,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Taysom Hill,TE,Shindo ,0.0,0.0,143.52,8.97,16,59.07,F-,{16A413B2-9FE8-4937-A413-B29FE8093782}
Ty Chandler,RB,Toby's Favorite Employee,0.0,0.0,101.0,5.94,17,58.48,F-,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Kendrick Bourne,WR,Bear Down,0.0,0.0,100.0,12.5,8,58.36,F-,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Jaleel McLaughlin,RB,Bench Warmer,0.0,0.0,106.0,6.24,17,57.35,F-,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
DeMario Douglas,WR,Red River Rising 💪,0.0,0.0,107.2,7.66,14,56.94,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Isaiah Likely,TE,Red River Rising 💪,59.81,3.99,101.1,5.95,17,55.02,F-,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Noah Brown,WR,Shindo ,0.0,0.0,101.6,10.16,10,52.76,F-,{16A413B2-9FE8-4937-A413-B29FE8093782}
Bears D/ST,D/ST,Bear Down,0.0,0.0,110.0,6.47,17,50.34,F-,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Tucker Kraft,TE,My Team Hurts,46.08,3.07,78.5,4.62,17,49.02,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Riley Patterson,K,Bench Warmer,0.0,0.0,91.0,6.07,15,46.35,F-,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
Joe Flacco,QB, Johnny  Dramas ,0.0,0.0,100.84,20.17,5,45.08,F-,{2EE23928-38D5-4A7D-B660-50DE7C47A645}
Juwan Johnson,TE,Unicorns🦄 ,0.0,0.0,97.8,7.52,13,44.65,F-,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311}
Jordan Mason,RB,My Team Hurts,0.0,0.0,44.7,2.63,17,44.52,F-,{17471759-D3C1-4206-8612-A156BCC23AA1}
Tyler Conklin,TE,Bench Warmer,0.0,0.0,123.1,7.24,17,42.58,F-,{0F0E5482-7DA5-4CF1-BA17-D025B6E79526}
Darrell Henderson Jr.,RB,Jackson's Tiktok,0.0,0.0,43.5,10.88,4,24.06,F-,{43035DAF-DDD6-4952-835D-AFDDD6195257}
Kyler Murray,QB,Dennis The Menace ,0.0,0.0,146.36,18.3,8,10.0,F-,{72E06046-9EEC-4999-A060-469EEC399959}
