Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
2 - 3,15,Christian McCaffrey,RB,Dookey Dukes,318.41,18.73,404.9,25.31,16,100.0,A+,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
1 - 6,6,Bijan Robinson,RB,Ross' Sauces,339.37,19.96,363.5,22.72,16,99.6,A+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
3 - 4,28,Jonathan Taylor,RB,BetterThanDeanAtSF6,288.77,16.99,356.4,22.27,16,98.56,A+,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
2 - 7,19,Puka Nacua,WR,Ross' Sauces,298.63,17.57,349.0,23.27,15,98.53,A+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
2 - 4,16,Jahmyr Gibbs,RB,Yvng Killas,317.28,18.66,346.6,21.66,16,98.0,A+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
5 - 10,58,Jaxon Smith-Njigba,WR,Dookey Dukes,240.91,14.17,345.5,21.59,16,97.92,A+,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
3 - 1,25,De'Von Achane,RB,Club Penguins,307.53,18.09,322.8,20.18,16,94.66,A,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
1 - 1,1,Josh Allen,QB,Club Penguins,367.87,21.64,364.62,22.79,16,93.89,A,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
8 - 6,90,Drake Maye,QB,dFIBulators,285.26,16.78,336.22,21.01,16,92.36,A-,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
3 - 5,29,Trey McBride,TE,Balls@ck Gafoor,259.22,15.25,302.4,18.9,16,92.17,A-,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
10 - 10,118,Trevor Lawrence,QB,Chase Ball. Touchdown!,279.32,16.43,314.88,19.68,16,91.78,A-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
3 - 8,32,James Cook III,RB,Chill YNs,269.9,15.88,300.7,18.79,16,91.7,A-,{61563278-5915-4089-8B19-0BFACDFA9B38}
2 - 10,22,Amon-Ra St. Brown,WR,Chase Ball. Touchdown!,290.62,17.1,299.1,18.69,16,91.58,A-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
1 - 3,3,Ja'Marr Chase,WR,Chase Ball. Touchdown!,340.02,20.0,290.0,19.33,15,91.12,A-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
