Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Jason Myers,K,Balls@ck Gafoor,136.51,8.03,189.0,11.81,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},95.3,A
Rico Dowdle,RB,dFIBulators,83.95,4.94,213.3,13.33,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},95.28,A
Kenneth Gainwell,RB,Chase Ball. Touchdown!,193.17,11.36,199.9,12.49,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},92.56,A-
Harold Fannin Jr.,TE,BetterThanDeanAtSF6,53.49,3.15,186.4,11.65,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},91.01,A-
Browns D/ST,D/ST,TUFF,68.61,4.04,124.0,7.75,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},90.84,A-
Jaguars D/ST,D/ST,BetterThanDeanAtSF6,87.31,5.14,124.0,7.75,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},90.84,A-
Michael Wilson,WR,Chase Ball. Touchdown!,115.81,6.81,199.7,12.48,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},89.55,B+
Ka'imi Fairbairn,K,Club Penguins,135.89,7.99,164.0,11.71,14,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},88.86,B+
Saints D/ST,D/ST,Chase Ball. Touchdown!,62.14,3.66,115.0,7.19,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},87.77,B+
Dalton Schultz,TE,Yvng Killas,126.05,7.41,166.4,10.4,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},86.0,B
Troy Franklin,WR,Club Penguins,79.69,4.69,177.1,11.07,16,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},84.41,B
Quentin Johnston,WR,Dookey Dukes,163.92,9.64,171.2,12.23,14,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},83.07,B
Woody Marks,RB,Chase Ball. Touchdown!,73.35,4.31,144.3,9.62,15,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},81.25,B-
