Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 8,22,CeeDee Lamb,WR,Peter Pan + the Lost Boys ,0.0,0.0,335.7,19.75,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},98.59,A+
13 - 1,169,Raheem Mostert,RB,The  Dream crusher,0.0,0.0,255.2,17.01,15,{600C56A6-5DB0-42B1-8C56-A65DB022B176},96.36,A
1 - 4,4,Christian McCaffrey,RB,Maid of Honor,0.0,0.0,357.8,22.36,16,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},95.79,A
1 - 7,7,Tyreek Hill,WR,Peter Pan + the Lost Boys ,0.0,0.0,316.9,19.81,16,{D1128929-4E7D-4D10-9289-294E7DBD10E2},94.87,A
13 - 2,170,Nico Collins,WR,the   jadey bunch,0.0,0.0,220.4,14.69,15,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},92.75,A-
3 - 3,31,Amon-Ra St. Brown,WR,Wu-Tangs Killabeez,194.41,12.96,271.4,16.96,16,{8BED9748-9839-4F55-AD97-4898394F5553},90.35,A-
2 - 6,20,Jalen Hurts,QB,Toon Squad,0.0,0.0,356.82,20.99,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},88.96,B+
5 - 7,63,Dak Prescott,QB,Peter Pan + the Lost Boys ,0.0,0.0,342.84,20.17,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},88.95,B+
1 - 12,12,Josh Allen,QB,Crazy Kat,0.0,0.0,392.64,23.1,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},88.92,B+
12 - 8,162,Ravens D/ST,D/ST,Peter Pan + the Lost Boys ,0.0,0.0,172.0,10.12,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},88.56,B+
14 - 11,193,Gus Edwards,RB,Maid of Honor,0.0,0.0,181.0,10.65,17,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},88.21,B+
14 - 7,189,De'Von Achane,RB,Off Script ,0.0,0.0,177.2,16.11,11,{BF8C828B-DE26-4592-8C82-8BDE2675929B},87.7,B+
5 - 2,58,Rachaad White,RB,the   jadey bunch,0.0,0.0,235.9,13.88,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},87.46,B+
8 - 11,109,Brock Purdy,QB,Maid of Honor,0.0,0.0,295.6,18.48,16,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},87.45,B+
4 - 5,47,Mike Evans,WR,Dirty Tone and  The Boys,0.0,0.0,243.0,14.29,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},87.23,B+
14 - 12,194,Browns D/ST,D/ST,Wu-Tangs Killabeez,0.0,0.0,166.0,9.76,17,{8BED9748-9839-4F55-AD97-4898394F5553},87.22,B+
5 - 11,67,Jordan Love,QB,Team Sunshine,0.0,0.0,319.06,18.77,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},87.17,B+
12 - 4,158,Jerome Ford,RB,Team Sunshine,0.0,0.0,189.2,11.13,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},87.14,B+
2 - 7,21,Lamar Jackson,QB,Off Script ,0.0,0.0,331.22,20.7,16,{BF8C828B-DE26-4592-8C82-8BDE2675929B},87.0,B+
7 - 3,87,Jared Goff,QB,Wu-Tangs Killabeez,0.0,0.0,289.1,17.01,17,{8BED9748-9839-4F55-AD97-4898394F5553},86.77,B
4 - 9,51,DJ Moore,WR,Team Rodriguez,0.0,0.0,238.5,14.03,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},86.75,B
10 - 7,133,Cowboys D/ST,D/ST,Off Script ,0.0,0.0,172.0,10.12,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},86.4,B
11 - 14,154,Adam Thielen,WR,Rollin' with Mahomies,0.0,0.0,179.5,10.56,17,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},85.93,B
6 - 13,83,David Montgomery,RB,the   jadey bunch,0.0,0.0,199.2,14.23,14,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},85.41,B
10 - 4,130,Evan Engram,TE,Team Sunshine,0.0,0.0,173.3,10.19,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},85.38,B
8 - 5,103,C.J. Stroud,QB,Dirty Tone and  The Boys,0.0,0.0,275.52,18.37,15,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},85.34,B
7 - 14,98,T.J. Hockenson,TE,Rollin' with Mahomies,0.0,0.0,171.5,11.43,15,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},84.92,B
7 - 8,92,Brandon Aiyuk,WR,Off Script ,0.0,0.0,211.7,13.23,16,{BF8C828B-DE26-4592-8C82-8BDE2675929B},84.91,B
5 - 8,64,Keenan Allen,WR,Off Script ,0.0,0.0,224.86,17.3,13,{BF8C828B-DE26-4592-8C82-8BDE2675929B},84.84,B
3 - 2,30,A.J. Brown,WR,the   jadey bunch,0.0,0.0,236.6,13.92,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},84.83,B
5 - 14,70,James Cook,RB,Rollin' with Mahomies,0.0,0.0,210.7,12.39,17,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},84.44,B
3 - 5,33,Travis Etienne Jr.,RB,Taco Tuesday Everyday,0.0,0.0,253.4,14.91,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},84.1,B
3 - 7,35,Breece Hall,RB,Peter Pan + the Lost Boys ,0.0,0.0,252.5,14.85,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},83.98,B
9 - 3,115,Brian Robinson Jr.,RB,Wu-Tangs Killabeez,0.0,0.0,180.1,12.01,15,{8BED9748-9839-4F55-AD97-4898394F5553},83.96,B
12 - 1,155,Jaylen Warren,RB,Rollin' with Mahomies,0.0,0.0,165.9,9.76,17,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},83.57,B
11 - 7,147,Harrison Butker,K,Peter Pan + the Lost Boys ,142.22,8.37,152.0,8.94,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},83.28,B
10 - 10,136,David Njoku,TE,Taco Tuesday Everyday,0.0,0.0,160.7,10.04,16,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},83.27,B
12 - 14,168,Jason Myers,K,The  Dream crusher,138.22,8.13,151.0,8.88,17,{600C56A6-5DB0-42B1-8C56-A65DB022B176},83.13,B
6 - 6,76,Alvin Kamara,RB,Toon Squad,0.0,0.0,195.5,15.04,13,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},83.09,B
7 - 12,96,Michael Pittman Jr.,WR,Crazy Kat,0.0,0.0,195.7,12.23,16,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},82.83,B-
7 - 1,85,Russell Wilson,QB,The  Dream crusher,0.0,0.0,256.9,17.13,15,{600C56A6-5DB0-42B1-8C56-A65DB022B176},82.83,B-
14 - 6,188,Cameron Dicker,K,Toon Squad,141.1,8.3,149.0,8.76,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},82.48,B-
12 - 9,163,Matt Gay,K,Team Rodriguez,130.42,7.67,149.0,8.76,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},82.48,B-
9 - 1,113,Jets D/ST,D/ST,The  Dream crusher,0.0,0.0,159.0,9.35,17,{600C56A6-5DB0-42B1-8C56-A65DB022B176},82.36,B-
2 - 13,27,Joe Mixon,RB,the   jadey bunch,0.0,0.0,241.0,14.18,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},82.36,B-
6 - 5,75,George Kittle,TE,Dirty Tone and  The Boys,0.0,0.0,170.7,10.67,16,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},82.13,B-
9 - 8,120,Jordan Addison,WR,Off Script ,0.0,0.0,186.3,10.96,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},82.05,B-
10 - 13,139,Jake Elliott,K,the   jadey bunch,142.38,8.38,154.0,9.06,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},82.04,B-
10 - 2,128,Justin Tucker,K,The Upside Down,146.18,8.6,155.0,9.12,17,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},81.98,B-
7 - 2,86,Matthew Stafford,QB,the   jadey bunch,0.0,0.0,243.1,16.21,15,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},81.93,B-
9 - 9,121,Jakobi Meyers,WR,Toon Squad,0.0,0.0,183.08,11.44,16,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},81.86,B-
4 - 2,44,Deebo Samuel,WR,The Upside Down,0.0,0.0,213.7,14.25,15,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},81.77,B-
11 - 8,148,Devin Singletary,RB,Off Script ,0.0,0.0,152.34,8.96,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},81.75,B-
8 - 2,100,Bills D/ST,D/ST,The Upside Down,0.0,0.0,158.0,9.29,17,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},81.66,B-
11 - 11,151,Ezekiel Elliott,RB,Team Sunshine,115.85,8.27,149.0,8.76,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},81.3,B-
3 - 6,34,Tua Tagovailoa,QB,Team Rodriguez,0.0,0.0,270.36,15.9,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},81.13,B-
6 - 11,81,Derek Carr,QB,Maid of Honor,0.0,0.0,241.12,14.18,17,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},81.13,B-
4 - 12,54,James Conner,RB,Wu-Tangs Killabeez,0.0,0.0,188.0,14.46,13,{8BED9748-9839-4F55-AD97-4898394F5553},81.01,B-
3 - 14,42,Isiah Pacheco,RB,Rollin' with Mahomies,0.0,0.0,191.9,13.71,14,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},80.67,B-
4 - 8,50,Kenneth Walker III,RB,Peter Pan + the Lost Boys ,0.0,0.0,184.9,12.33,15,{D1128929-4E7D-4D10-9289-294E7DBD10E2},80.6,B-
3 - 11,39,Trevor Lawrence,QB,Team Sunshine,0.0,0.0,262.54,16.41,16,{1AE08E91-6882-4C36-A08E-9168821C36D0},80.3,B-
3 - 9,37,Jahmyr Gibbs,RB,Toon Squad,0.0,0.0,216.1,14.41,15,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},80.25,B-
14 - 4,186,Jason Sanders,K,Team Sunshine,133.72,7.87,142.0,8.35,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},80.22,B-
12 - 13,167,Gabe Davis,WR,the   jadey bunch,0.0,0.0,138.9,8.17,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},79.97,C+
8 - 6,104,George Pickens,WR,Toon Squad,0.0,0.0,177.3,10.43,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},79.94,C+
12 - 2,156,Cole Kmet,TE,The Upside Down,0.0,0.0,144.6,8.51,17,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},79.92,C+
5 - 6,62,D'Andre Swift,RB,Team Rodriguez,0.0,0.0,179.8,11.24,16,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},79.91,C+
1 - 13,13,Stefon Diggs,WR,The Upside Down,0.0,0.0,220.3,12.96,17,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},79.73,C+
1 - 6,6,Travis Kelce,TE,Team Rodriguez,0.0,0.0,172.9,11.53,15,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},79.42,C+
11 - 10,150,Greg Zuerlein,K,Dirty Tone and  The Boys,135.04,7.94,140.0,8.75,16,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},79.39,C+
7 - 7,91,Jonathan Taylor,RB,Peter Pan + the Lost Boys ,0.0,0.0,146.9,14.69,10,{D1128929-4E7D-4D10-9289-294E7DBD10E2},79.24,C+
11 - 12,152,Brandon McManus,K,Crazy Kat,137.74,8.1,139.0,8.18,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},79.19,C+
8 - 4,102,Terry McLaurin,WR,Team Sunshine,0.0,0.0,169.7,9.98,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},78.75,C+
1 - 10,10,Davante Adams,WR,Dirty Tone and  The Boys,0.0,0.0,213.9,12.58,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},78.73,C+
4 - 4,46,Calvin Ridley,WR,Team Sunshine,0.0,0.0,191.9,11.29,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},78.72,C+
14 - 14,196,Curtis Samuel,WR,The  Dream crusher,0.0,0.0,126.2,7.89,16,{600C56A6-5DB0-42B1-8C56-A65DB022B176},78.6,C+
1 - 1,1,Derrick Henry,RB,The  Dream crusher,0.0,0.0,232.66,13.69,17,{600C56A6-5DB0-42B1-8C56-A65DB022B176},78.58,C+
4 - 6,48,Chris Olave,WR,Toon Squad,182.66,12.18,187.8,11.74,16,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},78.58,C+
11 - 9,149,Tyler Allgeier,RB,Toon Squad,0.0,0.0,128.6,7.56,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},78.55,C+
1 - 3,3,Ja'Marr Chase,WR,Wu-Tangs Killabeez,0.0,0.0,212.72,13.3,16,{8BED9748-9839-4F55-AD97-4898394F5553},78.54,C+
8 - 14,112,Zay Flowers,WR,The  Dream crusher,0.0,0.0,167.9,10.49,16,{600C56A6-5DB0-42B1-8C56-A65DB022B176},78.47,C+
8 - 12,110,Chris Godwin,WR,Wu-Tangs Killabeez,0.0,0.0,167.7,9.86,17,{8BED9748-9839-4F55-AD97-4898394F5553},78.44,C+
2 - 1,15,Patrick Mahomes,QB,Rollin' with Mahomies,0.0,0.0,280.22,17.51,16,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},78.33,C+
6 - 1,71,Geno Smith,QB,Rollin' with Mahomies,0.0,0.0,226.76,15.12,15,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},78.32,C+
4 - 3,45,Amari Cooper,WR,Crazy Kat,0.0,0.0,191.0,12.73,15,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},78.26,C+
12 - 5,159,Chiefs D/ST,D/ST,Dirty Tone and  The Boys,0.0,0.0,140.0,8.24,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},78.05,C+
8 - 9,107,Courtland Sutton,WR,Team Rodriguez,0.0,0.0,160.7,10.04,16,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},77.34,C+
6 - 4,74,Javonte Williams,RB,Team Sunshine,0.0,0.0,155.7,9.73,16,{1AE08E91-6882-4C36-A08E-9168821C36D0},77.32,C+
12 - 7,161,Younghoe Koo,K,Off Script ,134.42,7.91,133.0,7.82,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},77.3,C+
3 - 1,29,Justin Herbert,QB,The  Dream crusher,0.0,0.0,233.66,17.97,13,{600C56A6-5DB0-42B1-8C56-A65DB022B176},77.1,C+
3 - 10,38,DeAndre Hopkins,WR,Dirty Tone and  The Boys,0.0,0.0,186.1,10.95,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},77.1,C+
1 - 8,8,Bijan Robinson,RB,Off Script ,0.0,0.0,217.3,12.78,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},77.09,C+
9 - 5,117,Dolphins D/ST,D/ST,Taco Tuesday Everyday,0.0,0.0,139.0,8.18,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},76.85,C
2 - 9,23,Justin Fields,QB,Team Rodriguez,0.0,0.0,230.18,17.71,13,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},76.73,C
2 - 3,17,Saquon Barkley,RB,Crazy Kat,0.0,0.0,202.7,14.48,14,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},76.33,C
2 - 11,25,DeVonta Smith,WR,Maid of Honor,0.0,0.0,187.1,11.69,16,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},75.97,C
6 - 3,73,Tyler Lockett,WR,Crazy Kat,0.0,0.0,162.9,9.58,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},75.64,C
2 - 4,18,Tony Pollard,RB,Team Sunshine,0.0,0.0,195.1,11.48,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},75.37,C
1 - 14,14,DK Metcalf,WR,Rollin' with Mahomies,0.0,0.0,192.4,12.03,16,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},75.36,C
9 - 14,126,Evan McPherson,K,Rollin' with Mahomies,0.0,0.0,135.0,7.94,17,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},75.33,C
14 - 8,190,Colts D/ST,D/ST,Peter Pan + the Lost Boys ,0.0,0.0,123.0,7.24,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},75.31,C
14 - 1,183,Dalton Schultz,TE,Rollin' with Mahomies,0.0,0.0,121.0,8.07,15,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},75.01,C
13 - 8,176,Kenneth Gainwell,RB,Off Script ,0.0,0.0,82.38,5.15,16,{BF8C828B-DE26-4592-8C82-8BDE2675929B},74.94,C
7 - 6,90,49ers D/ST,D/ST,Team Rodriguez,0.0,0.0,136.0,8.0,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},74.93,C
11 - 5,145,Tyler Bass,K,Taco Tuesday Everyday,138.81,8.17,128.0,7.53,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},74.88,C
6 - 14,84,Brandin Cooks,WR,The  Dream crusher,0.0,0.0,146.2,9.14,16,{600C56A6-5DB0-42B1-8C56-A65DB022B176},74.3,C
9 - 12,124,AJ Dillon,RB,Crazy Kat,0.0,0.0,106.6,7.11,15,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},74.18,C
10 - 3,129,Saints D/ST,D/ST,Crazy Kat,0.0,0.0,129.0,7.59,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},74.08,C
2 - 5,19,Najee Harris,RB,Dirty Tone and  The Boys,0.0,0.0,181.0,10.65,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},74.06,C
12 - 12,166,Zach Charbonnet,RB,Wu-Tangs Killabeez,0.0,0.0,89.6,5.6,16,{8BED9748-9839-4F55-AD97-4898394F5553},73.84,C
10 - 14,140,Samaje Perine,RB,The  Dream crusher,0.0,0.0,96.3,5.66,17,{600C56A6-5DB0-42B1-8C56-A65DB022B176},73.8,C
14 - 9,191,Dalton Kincaid,TE,Team Rodriguez,0.0,0.0,113.8,7.11,16,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},73.66,C
14 - 3,185,K.J. Osborn,WR,Crazy Kat,0.0,0.0,96.0,6.0,16,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},73.59,C
3 - 4,32,Jaylen Waddle,WR,Maid of Honor,0.0,0.0,162.6,11.61,14,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},73.42,C
2 - 12,26,Garrett Wilson,WR,Wu-Tangs Killabeez,208.99,13.93,165.7,9.75,17,{8BED9748-9839-4F55-AD97-4898394F5553},73.21,C
11 - 13,153,Elijah Moore,WR,The Upside Down,117.66,7.84,102.6,6.04,17,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},73.21,C
8 - 13,111,Steelers D/ST,D/ST,the   jadey bunch,0.0,0.0,127.0,7.47,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},73.16,C
12 - 11,165,DJ Chark Jr.,WR,Maid of Honor,117.15,9.01,98.0,6.53,15,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},73.16,C
7 - 5,89,Khalil Herbert,RB,Taco Tuesday Everyday,0.0,0.0,102.5,8.54,12,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},72.97,C-
8 - 8,106,Bryce Young,QB,Peter Pan + the Lost Boys ,0.0,0.0,156.38,9.77,16,{D1128929-4E7D-4D10-9289-294E7DBD10E2},72.8,C-
4 - 7,49,Rhamondre Stevenson,RB,Off Script ,0.0,0.0,126.7,10.56,12,{BF8C828B-DE26-4592-8C82-8BDE2675929B},72.76,C-
6 - 8,78,Drake London,WR,Peter Pan + the Lost Boys ,0.0,0.0,139.88,8.74,16,{D1128929-4E7D-4D10-9289-294E7DBD10E2},72.43,C-
9 - 2,114,Kyle Pitts,TE,the   jadey bunch,0.0,0.0,110.8,6.52,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},72.29,C-
2 - 14,28,Josh Jacobs,RB,The  Dream crusher,0.0,0.0,162.6,12.51,13,{600C56A6-5DB0-42B1-8C56-A65DB022B176},71.88,C-
5 - 4,60,Alexander Mattison,RB,Maid of Honor,0.0,0.0,118.2,7.39,16,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},71.62,C-
1 - 2,2,Justin Jefferson,WR,the   jadey bunch,0.0,0.0,168.2,16.82,10,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},71.56,C-
13 - 7,175,Clyde Edwards-Helaire,RB,Peter Pan + the Lost Boys ,75.67,5.41,61.6,4.11,15,{D1128929-4E7D-4D10-9289-294E7DBD10E2},71.55,C-
9 - 11,123,Tyler Boyd,WR,Team Sunshine,120.77,8.05,111.3,6.55,17,{1AE08E91-6882-4C36-A08E-9168821C36D0},71.27,C-
9 - 4,116,Jaxon Smith-Njigba,WR,Maid of Honor,0.0,0.0,118.3,6.96,17,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},71.25,C-
12 - 6,160,Patriots D/ST,D/ST,Toon Squad,0.0,0.0,111.0,6.53,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},71.03,C-
7 - 4,88,Christian Kirk,WR,Maid of Honor,0.0,0.0,121.76,10.15,12,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},70.82,C-
