Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 11,11,Christian McCaffrey,RB,the   jadey bunch,282.63,16.63,356.9,22.31,16,100.0,A+,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
2 - 9,23,Jonathan Taylor,RB,Is it Hockey Season?,272.45,16.03,334.4,20.9,16,100.0,A+,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
1 - 1,1,Bijan Robinson,RB,Crunchwrap Crew,308.13,18.13,325.5,20.34,16,100.0,A+,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
1 - 9,9,Puka Nacua,WR,The Upside Down,246.01,14.47,289.5,19.3,15,99.97,A+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
4 - 11,53,Jaxon Smith-Njigba,WR,Team Rodriguez,196.67,11.57,289.0,18.06,16,99.42,A+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
1 - 8,8,Josh Allen,QB,Febreze Brothers,367.87,21.64,364.62,22.79,16,99.25,A+,{A8781626-DB52-4D55-B816-26DB528D55B6}
10 - 2,128,Matthew Stafford,QB,Crazy Kat,274.08,16.12,323.72,20.23,16,99.0,A+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
6 - 11,81,Drake Maye,QB,Team Rodriguez,285.26,16.78,335.72,20.98,16,98.97,A+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
1 - 5,5,Jahmyr Gibbs,RB,Ertz When I Pee,287.11,16.89,309.6,19.35,16,98.84,A+,{F3D1384A-36F5-4EFA-B444-3241073A1940}
7 - 8,92,Trevor Lawrence,QB,Febreze Brothers,279.32,16.43,314.88,19.68,16,96.54,A,{A8781626-DB52-4D55-B816-26DB528D55B6}
3 - 9,37,James Cook III,RB,The Upside Down,251.61,14.8,284.2,17.76,16,96.53,A,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
2 - 5,19,De'Von Achane,RB,Wu-Tangs Killabeez,270.33,15.9,289.3,18.08,16,96.31,A,{8BED9748-9839-4F55-AD97-4898394F5553}
4 - 8,50,Dak Prescott,QB,Peter Pan + the Lost Boys ,285.8,16.81,313.08,19.57,16,93.77,A,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
3 - 7,35,Trey McBride,TE,Peter Pan + the Lost Boys ,202.67,11.92,242.9,15.18,16,93.59,A,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
1 - 14,14,Amon-Ra St. Brown,WR,Michael's Monstrous Team,232.27,13.66,246.1,15.38,16,92.66,A-,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
5 - 1,57,Caleb Williams,QB,Crunchwrap Crew,279.79,16.46,300.6,18.79,16,92.53,A-,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
5 - 12,68,George Pickens,WR,Toon Squad,185.27,10.9,244.0,15.25,16,92.46,A-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
2 - 6,20,Derrick Henry,RB,The Upside Down,272.8,16.05,259.4,16.21,16,92.07,A-,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
2 - 1,15,Jalen Hurts,QB,Michael's Monstrous Team,365.49,21.5,299.06,18.69,16,92.02,A-,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
2 - 13,27,Patrick Mahomes,QB,Chasing Flowers,324.92,19.11,285.18,20.37,14,91.72,A-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
