Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Patriots D/ST,D/ST,Crazy Kat,90.39,5.32,173.0,10.18,17,100.0,A+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Chiefs D/ST,D/ST,Breece’s  Pieces,59.1,3.48,115.0,6.76,17,91.81,A-,{AB606613-7901-4CE2-A066-1379013CE29D}
Zay Jones,WR,Breece’s  Pieces,89.14,5.57,157.1,9.82,16,82.32,B-,{AB606613-7901-4CE2-A066-1379013CE29D}
Jason Myers,K,Breece’s  Pieces,124.21,7.31,156.0,9.18,17,80.61,B-,{AB606613-7901-4CE2-A066-1379013CE29D}
Jared Goff,QB,Need a New Name,236.35,14.77,283.82,16.7,17,78.9,C+,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Darius Slayton,WR,Breece’s  Pieces,13.17,0.88,105.4,6.59,16,77.62,C+,{AB606613-7901-4CE2-A066-1379013CE29D}
Taysom Hill,TE,Maid of Honor,68.8,4.3,141.3,8.83,16,75.37,C,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Brett Maher,K,Peter Pan + the Lost Boys ,129.42,7.61,158.0,9.29,17,74.56,C,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Robbie Gould,K,Saving Private Ryan,130.48,7.68,137.0,8.06,17,74.03,C,{A8781626-DB52-4D55-B816-26DB528D55B6}
Geno Smith,QB,the   jadey bunch,148.82,14.88,303.88,17.88,17,73.51,C,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Jeff Wilson Jr.,RB,Breece’s  Pieces,45.26,3.02,147.5,9.22,16,73.32,C,{AB606613-7901-4CE2-A066-1379013CE29D}
Mack Hollins,WR,Peter Pan + the Lost Boys ,67.51,4.22,125.66,7.39,17,72.97,C-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Latavius Murray,RB,Team Rodriguez,0.0,0.0,140.7,10.82,13,72.93,C-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Will Dissly,TE,Dirty Tone and  The Boys,37.86,2.52,69.9,4.66,15,72.72,C-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Jacoby Brissett,QB,Need a New Name,138.37,13.84,168.62,10.54,16,71.51,C-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Foster Moreau,TE,Dirty Tone and  The Boys,42.97,2.69,68.7,4.58,15,71.12,C-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Greg Dulcich,TE,Peter Pan + the Lost Boys ,31.71,2.64,69.6,6.96,10,70.65,C-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Cameron Dicker,K,Team Rodriguez,0.0,0.0,93.0,8.45,11,70.3,C-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Jaguars D/ST,D/ST,Maid of Honor,61.54,3.62,111.0,6.53,17,70.26,C-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Donovan Peoples-Jones,WR,Crazy Kat,87.74,5.48,136.6,8.04,17,70.07,C-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Jets D/ST,D/ST,Maid of Honor,70.84,4.17,122.0,7.18,17,68.96,D+,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Jaylen Warren,RB,Crazy Kat,30.62,2.04,79.3,4.96,16,68.56,D+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Cade York,K,Crazy Kat,123.12,7.24,113.0,6.65,17,68.46,D+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Seahawks D/ST,D/ST,Saving Private Ryan,65.1,3.83,98.0,5.76,17,67.19,D+,{A8781626-DB52-4D55-B816-26DB528D55B6}
JaMycal Hasty,RB,Saving Private Ryan,10.46,0.75,60.0,3.53,17,64.63,D,{A8781626-DB52-4D55-B816-26DB528D55B6}
Vikings D/ST,D/ST,Dirty Tone and  The Boys,82.3,4.84,71.0,4.18,17,64.46,D,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Gus Edwards,RB,Peter Pan + the Lost Boys ,78.12,7.1,59.3,6.59,9,64.39,D,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Cardinals D/ST,D/ST,Free  Brady,66.68,3.92,91.0,5.35,17,63.78,D,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Dolphins D/ST,D/ST,Wu-Tangs Killabeez,105.38,6.2,89.0,5.24,17,63.28,D,{8BED9748-9839-4F55-AD97-4898394F5553}
Browns D/ST,D/ST,Wu-Tangs Killabeez,107.29,6.31,102.0,6.0,17,62.97,D-,{8BED9748-9839-4F55-AD97-4898394F5553}
Panthers D/ST,D/ST,Team Rodriguez,89.49,5.26,94.0,5.53,17,61.59,D-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Trey McBride,TE,The Truth Hurts,26.94,1.68,47.0,2.94,16,61.5,D-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Joshua Kelley,RB,Need a New Name,42.99,2.87,57.8,4.45,13,60.86,D-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Kenyan Drake,RB,The Truth Hurts,12.14,0.81,95.6,7.97,12,60.25,D-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Cairo Santos,K,Need a New Name,121.85,7.17,102.0,6.38,16,59.92,F-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Marcus Mariota,QB,Crazy Kat,141.19,15.69,196.56,15.12,13,59.31,F-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Titans D/ST,D/ST,Breece’s  Pieces,85.04,5.0,80.0,4.71,17,58.88,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Falcons D/ST,D/ST,Free  Brady,63.38,3.73,69.0,4.06,17,58.74,F-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Corey Davis,WR,Crazy Kat,99.1,6.61,81.6,6.28,13,57.6,F-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Travis Homer,RB,Saving Private Ryan,19.86,1.32,35.1,3.51,10,56.5,F-,{A8781626-DB52-4D55-B816-26DB528D55B6}
Chris Moore,WR,Breece’s  Pieces,59.16,3.7,91.1,5.69,16,55.95,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
Tyler Conklin,TE,Free  Brady,68.04,4.25,102.5,6.03,17,55.47,F-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Bears D/ST,D/ST,Dirty Tone and  The Boys,66.9,3.94,32.0,1.88,17,54.69,F-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Chigoziem Okonkwo,TE,Breece’s  Pieces,14.41,0.9,81.2,4.78,17,51.36,F-,{AB606613-7901-4CE2-A066-1379013CE29D}
