Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Tyrone Tracy Jr.,RB,Peter Pan + the Lost Boys ,71.92,5.14,128.5,9.88,13,{D1128929-4E7D-4D10-9289-294E7DBD10E2},93.4,A
Jauan Jennings,WR,Taco Tuesday Everyday,59.65,3.98,146.0,12.17,12,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},93.26,A
Chris Boswell,K,Toon Squad,129.64,7.63,162.0,12.46,13,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},90.57,A-
Kareem Hunt,RB,Maid of Honor,0.0,0.0,115.6,11.56,10,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},90.4,A-
Broncos D/ST,D/ST,sports,62.93,3.7,127.0,9.77,13,{A8781626-DB52-4D55-B816-26DB528D55B6},90.22,A-
Vikings D/ST,D/ST,Terrell Suggs to be you,90.25,5.31,127.0,9.77,13,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},90.22,A-
Jonnu Smith,TE,sports,67.7,4.51,129.6,9.97,13,{A8781626-DB52-4D55-B816-26DB528D55B6},88.57,B+
Alexander Mattison,RB,Maid of Honor,86.47,6.18,95.0,9.5,10,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},85.62,B
Texans D/ST,D/ST,Maid of Honor,89.43,5.26,113.0,8.69,13,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},85.2,B
Justice Hill,RB,The Upside Down,77.38,5.53,87.8,6.75,13,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},83.95,B
Josh Downs,WR,The Upside Down,88.16,6.78,111.1,11.11,10,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},83.65,B
Alec Pierce,WR,the   jadey bunch,42.52,2.83,109.0,8.38,13,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},83.07,B
Cade Otton,TE,The Upside Down,87.92,5.86,107.7,8.28,13,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},82.74,B-
Chargers D/ST,D/ST,Wu-Tangs Killabeez,78.89,4.64,104.0,8.0,13,{8BED9748-9839-4F55-AD97-4898394F5553},81.97,B-
Zach Ertz,TE,Toon Squad,58.2,3.88,104.1,8.01,13,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},81.78,B-
Isaac Guerendo,RB,The Upside Down,37.57,2.68,74.3,5.31,14,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},80.82,B-
Quentin Johnston,WR,The Upside Down,90.6,6.04,98.5,8.95,11,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},80.18,B-
Seahawks D/ST,D/ST,Terrell Suggs to be you,102.28,6.02,98.0,7.54,13,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},79.82,C+
Nick Westbrook-Ikhine,WR,Toon Squad,18.12,1.29,96.9,7.45,13,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},79.74,C+
Braelon Allen,RB,sports,68.88,4.92,67.8,5.22,13,{A8781626-DB52-4D55-B816-26DB528D55B6},79.31,C+
Wil Lutz,K,Peter Pan + the Lost Boys ,120.66,7.1,123.0,9.46,13,{D1128929-4E7D-4D10-9289-294E7DBD10E2},79.1,C+
Eagles D/ST,D/ST,sports,89.53,5.27,92.0,7.08,13,{A8781626-DB52-4D55-B816-26DB528D55B6},77.67,C+
Michael Wilson,WR,Terrell Suggs to be you,113.78,7.59,88.8,6.83,13,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},77.51,C+
Cam Akers,RB,Crazy Kat,21.92,1.69,59.3,4.56,13,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},77.34,C+
Chase McLaughlin,K,It HURTS being an Eagles fan ,133.62,7.86,114.0,8.77,13,{BF8C828B-DE26-4592-8C82-8BDE2675929B},76.46,C
Elijah Moore,WR,the   jadey bunch,59.31,3.95,80.7,6.21,13,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},75.28,C
Tyler Bass,K,sports,129.39,7.61,106.0,8.15,13,{A8781626-DB52-4D55-B816-26DB528D55B6},74.1,C
Miles Sanders,RB,the   jadey bunch,78.45,5.6,40.2,4.02,10,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},72.9,C-
Blake Grupe,K,Wu-Tangs Killabeez,125.5,7.38,99.0,7.62,13,{8BED9748-9839-4F55-AD97-4898394F5553},72.05,C-
Cardinals D/ST,D/ST,Taco Tuesday Everyday,53.06,3.12,74.0,5.69,13,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},71.22,C-
Cedric Tillman,WR,sports,64.5,4.3,65.9,5.99,11,{A8781626-DB52-4D55-B816-26DB528D55B6},71.2,C-
Derek Carr,QB,The  Dream crusher,218.66,14.58,150.9,15.09,10,{600C56A6-5DB0-42B1-8C56-A65DB022B176},68.69,D+
Sincere McCormick,RB,the   jadey bunch,0.0,0.0,20.7,5.17,4,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},68.38,D+
Titans D/ST,D/ST,Crazy Kat,83.34,4.9,64.0,4.92,13,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},67.63,D+
Commanders D/ST,D/ST,Wu-Tangs Killabeez,76.9,4.52,64.0,4.92,13,{8BED9748-9839-4F55-AD97-4898394F5553},67.63,D+
Buccaneers D/ST,D/ST,Dirty Tone and  The Boys,75.24,4.43,60.0,4.62,13,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},66.2,D
Will Reichard,K,Team Rodriguez,125.13,7.36,79.0,8.78,9,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},66.17,D
Jameis Winston,QB,Dirty Tone and  The Boys,28.25,7.06,131.5,11.95,11,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},65.66,D
Colts D/ST,D/ST,Peter Pan + the Lost Boys ,95.8,5.64,58.0,4.46,13,{D1128929-4E7D-4D10-9289-294E7DBD10E2},65.48,D
Chad Ryland,K,Dirty Tone and  The Boys,0.0,0.0,75.0,8.33,9,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},64.99,D
Brandon McManus,K,Terrell Suggs to be you,0.0,0.0,56.0,8.0,7,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},59.4,F
Falcons D/ST,D/ST,The Upside Down,107.5,6.32,40.0,3.08,13,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F},59.03,F
Cooper Rush,QB,the   jadey bunch,34.45,8.61,69.14,7.68,9,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},55.89,F
Matthew Wright,K,The  Dream crusher,0.0,0.0,42.0,14.0,3,{600C56A6-5DB0-42B1-8C56-A65DB022B176},55.29,F
