Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 11,11,Christian McCaffrey,RB,Tush Push Director 🍑,318.41,18.73,404.9,25.31,16,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},100.0,A+
3 - 5,41,Trey McBride,TE,Faith's Fantastic Team,259.22,15.25,302.4,18.9,16,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},100.0,A+
3 - 1,37,Jaxon Smith-Njigba,WR,Flock Around and Find Out,240.91,14.17,345.5,21.59,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},100.0,A+
1 - 13,13,Puka Nacua,WR,Say Cheese 🧀💚🧀,298.63,17.57,349.0,23.27,15,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},100.0,A+
4 - 10,64,George Pickens,WR,Face Down Sacks Up,221.36,13.02,290.0,18.12,16,{406D4692-3C67-4DBA-B1E3-5736014C31B1},97.99,A+
1 - 17,17,Jonathan Taylor,RB,Breezy’s Bros,288.77,16.99,356.4,22.27,16,{C582F37F-EA8C-4A16-802F-468A6362CA16},96.16,A
5 - 1,73,Chris Olave,WR,Flock Around and Find Out,209.82,12.34,268.0,16.75,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},95.03,A
1 - 1,1,Bijan Robinson,RB,Flock Around and Find Out,339.37,19.96,363.5,22.72,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},94.44,A
7 - 1,109,Travis Etienne Jr.,RB,Flock Around and Find Out,188.14,11.07,249.1,15.57,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},93.73,A
11 - 9,189,Seahawks D/ST,D/ST,Face Down Sacks Up,121.19,7.13,173.0,10.81,16,{406D4692-3C67-4DBA-B1E3-5736014C31B1},93.64,A
1 - 7,7,Amon-Ra St. Brown,WR,Lamb of Goedert,290.62,17.1,299.1,18.69,16,{4DBC9875-C246-495B-9731-408DC5E2DFCE},93.24,A
9 - 11,155,Wan'Dale Robinson,WR,Tush Push Director 🍑,152.78,8.99,217.9,13.62,16,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},93.08,A
1 - 6,6,Jahmyr Gibbs,RB,It's Miller Time,317.28,18.66,346.6,21.66,16,{46993514-CB12-4CFA-9935-14CB122CFA5F},92.85,A-
11 - 5,185,Rico Dowdle,RB,Faith's Fantastic Team,83.95,4.94,213.3,13.33,16,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},92.64,A-
12 - 6,204,Michael Wilson,WR,Say Cheese 🧀💚🧀,115.81,6.81,199.7,12.48,16,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},92.44,A-
9 - 18,162,Matthew Stafford,QB,Becca’s Ballers,274.08,16.12,323.72,20.23,16,{2CC13964-3B93-4869-A746-1634AE79F650},92.37,A-
15 - 16,268,Jason Myers,K,Men in Tight(End)s,136.51,8.03,189.0,11.81,16,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},92.1,A-
10 - 8,170,Trevor Lawrence,QB,Tush Push Director 🍑,279.32,16.43,314.88,19.68,16,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},91.92,A-
1 - 2,2,Ja'Marr Chase,WR,Shae's Sunday Scaries ,340.02,20.0,290.0,19.33,15,{301FF24A-F501-4A68-A146-66AEDC81FB63},91.85,A-
15 - 3,255,Juwan Johnson,TE,Sacks and the City,117.35,6.9,172.8,10.8,16,{FD379251-A8A4-42A5-8FA5-83D1DA913174},91.75,A-
2 - 10,28,James Cook III,RB,Face Down Sacks Up,269.9,15.88,300.7,18.79,16,{406D4692-3C67-4DBA-B1E3-5736014C31B1},91.62,A-
6 - 1,91,Javonte Williams,RB,Becca’s Ballers,217.23,12.78,242.8,15.18,16,{2CC13964-3B93-4869-A746-1634AE79F650},91.45,A-
15 - 2,254,Troy Franklin,WR,Shae's Sunday Scaries ,79.69,4.69,177.1,11.07,16,{301FF24A-F501-4A68-A146-66AEDC81FB63},91.27,A-
1 - 14,14,De'Von Achane,RB,Gridiron Grace,307.53,18.09,322.8,20.18,16,{2C5A506D-2152-485A-A901-E0C1F08F8915},91.08,A-
10 - 9,171,Kenneth Gainwell,RB,Nicole's Nifty Team,193.17,11.36,199.9,12.49,16,{17F30800-A7FB-486F-A8C5-04FBF8270D9B},90.86,A-
7 - 13,121,Drake Maye,QB,Say Cheese 🧀💚🧀,285.26,16.78,336.22,21.01,16,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},90.61,A-
8 - 11,137,Kyle Pitts Sr.,TE,Nikki  ,143.06,8.42,199.0,12.44,16,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},90.52,A-
14 - 13,247,Quentin Johnston,WR,It's Miller Time,163.92,9.64,171.2,12.23,14,{46993514-CB12-4CFA-9935-14CB122CFA5F},90.37,A-
9 - 13,157,Texans D/ST,D/ST,Say Cheese 🧀💚🧀,128.82,7.58,162.0,10.12,16,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},90.19,A-
2 - 12,30,Josh Allen,QB,Lamb of Goedert,367.87,21.64,364.62,22.79,16,{4DBC9875-C246-495B-9731-408DC5E2DFCE},88.14,B+
6 - 18,108,Dak Prescott,QB,Flock Around and Find Out,285.8,16.81,313.08,19.57,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},87.83,B+
16 - 1,271,Alec Pierce,WR,Becca’s Ballers,70.93,4.17,154.1,11.01,14,{2CC13964-3B93-4869-A746-1634AE79F650},87.76,B+
9 - 4,148,Brandon Aubrey,K,Nothing Beats A Jets 2 Holiday,142.15,8.36,180.6,11.29,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},87.6,B+
9 - 12,156,Jared Goff,QB,Serving Punt,260.45,15.32,281.82,17.61,16,{FE598F7B-DEEB-43CB-B866-038706DB52C8},87.28,B+
6 - 15,105,Jake Ferguson,TE,Nothing Beats A Jets 2 Holiday,150.38,8.85,186.6,11.66,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},87.11,B+
5 - 18,90,Travis Kelce,TE,Becca’s Ballers,181.08,10.65,189.0,11.81,16,{2CC13964-3B93-4869-A746-1634AE79F650},87.0,B+
6 - 16,106,Dallas Goedert,TE,Sacks and the City,156.88,9.23,185.1,12.34,15,{FD379251-A8A4-42A5-8FA5-83D1DA913174},86.84,B
13 - 16,232,Dalton Schultz,TE,Men in Tight(End)s,126.05,7.41,166.4,10.4,16,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},86.35,B
9 - 5,149,Quinshon Judkins,RB,Faith's Fantastic Team,49.6,3.1,169.8,12.13,14,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},86.24,B
5 - 10,82,Caleb Williams,QB,Nicole's Nifty Team,279.79,16.46,301.6,18.85,16,{17F30800-A7FB-486F-A8C5-04FBF8270D9B},86.23,B
6 - 8,98,Tyler Warren,TE,Tush Push Director 🍑,166.07,9.77,180.9,11.31,16,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},85.89,B
16 - 2,272,Jaguars D/ST,D/ST,Breezy’s Bros,87.31,5.14,124.0,7.75,16,{C582F37F-EA8C-4A16-802F-468A6362CA16},85.87,B
7 - 4,112,Stefon Diggs,WR,Nothing Beats A Jets 2 Holiday,160.77,9.46,203.0,12.69,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},85.77,B
10 - 14,176,Romeo Doubs,WR,Faith's Fantastic Team,126.52,7.44,165.4,10.34,16,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},85.65,B
11 - 6,186,Ka'imi Fairbairn,K,It's Miller Time,135.89,7.99,164.0,11.71,14,{46993514-CB12-4CFA-9935-14CB122CFA5F},85.47,B
15 - 18,270,Kyle Monangai,RB,Becca’s Ballers,51.55,3.03,140.8,8.8,16,{2CC13964-3B93-4869-A746-1634AE79F650},85.22,B
5 - 8,80,Bo Nix,QB,Nikki  ,301.89,17.76,294.3,18.39,16,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},85.16,B
13 - 18,234,Kareem Hunt,RB,Becca’s Ballers,99.97,5.88,138.9,8.68,16,{2CC13964-3B93-4869-A746-1634AE79F650},84.97,B
4 - 9,63,Jameson Williams,WR,Nicole's Nifty Team,218.62,12.86,206.5,12.91,16,{17F30800-A7FB-486F-A8C5-04FBF8270D9B},84.93,B
3 - 15,51,Courtland Sutton,WR,Hurts so good,227.59,13.39,218.2,13.64,16,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},84.82,B
4 - 6,60,Zay Flowers,WR,Say Cheese 🧀💚🧀,232.52,13.68,213.5,13.34,16,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},84.8,B
10 - 6,168,Cameron Dicker,K,Say Cheese 🧀💚🧀,143.93,8.47,164.0,10.25,16,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},84.74,B
2 - 1,19,Derrick Henry,RB,Becca’s Ballers,281.74,16.57,266.9,16.68,16,{2CC13964-3B93-4869-A746-1634AE79F650},84.56,B
6 - 3,93,Michael Pittman Jr.,WR,Men in Tight(End)s,201.11,11.83,199.3,12.46,16,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},84.55,B
8 - 18,144,Hunter Henry,TE,Flock Around and Find Out,148.14,8.71,168.2,10.51,16,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},84.54,B
2 - 15,33,Jalen Hurts,QB,Nothing Beats A Jets 2 Holiday,365.49,21.5,299.06,18.69,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},84.5,B
5 - 12,84,Justin Herbert,QB,Serving Punt,284.48,16.73,286.88,17.93,16,{FE598F7B-DEEB-43CB-B866-038706DB52C8},84.47,B
14 - 15,249,Christian Watson,WR,Nothing Beats A Jets 2 Holiday,50.0,5.0,132.4,13.24,10,{9979E92C-9818-4436-9671-ABA329BBE6D9},84.45,B
11 - 16,196,Woody Marks,RB,Men in Tight(End)s,73.35,4.31,144.3,9.62,15,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},84.14,B
4 - 17,71,Patrick Mahomes,QB,Shae's Sunday Scaries ,324.92,19.11,285.68,20.41,14,{301FF24A-F501-4A68-A146-66AEDC81FB63},84.13,B
2 - 5,23,Davante Adams,WR,Gridiron Grace,257.07,15.12,222.9,15.92,14,{2C5A506D-2152-485A-A901-E0C1F08F8915},84.07,B
5 - 15,87,Emeka Egbuka,WR,Hurts so good,176.01,10.35,193.9,12.12,16,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},83.73,B
4 - 15,69,RJ Harvey,RB,Nothing Beats A Jets 2 Holiday,207.26,12.19,202.3,12.64,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},83.48,B
1 - 16,16,Nico Collins,WR,Men in Tight(End)s,289.12,17.01,226.2,15.08,15,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},83.48,B
14 - 14,248,Will Reichard,K,Faith's Fantastic Team,133.95,7.88,147.0,9.19,16,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},83.35,B
16 - 11,281,Cam Little,K,Nikki  ,135.84,7.99,146.0,9.12,16,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},83.26,B
1 - 12,12,Chase Brown,RB,Serving Punt,281.22,16.54,263.6,16.48,16,{FE598F7B-DEEB-43CB-B866-038706DB52C8},83.18,B
3 - 4,40,Breece Hall,RB,Nothing Beats A Jets 2 Holiday,226.04,13.3,207.66,12.98,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},83.03,B
7 - 3,111,Deebo Samuel,WR,Sacks and the City,203.14,11.95,184.1,12.27,15,{FD379251-A8A4-42A5-8FA5-83D1DA913174},82.87,B-
2 - 8,26,Kyren Williams,RB,Tush Push Director 🍑,284.05,16.71,252.2,15.76,16,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},82.69,B-
16 - 18,288,Kayshon Boutte,WR,Flock Around and Find Out,110.0,6.47,119.7,9.21,13,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},82.51,B-
7 - 11,119,Jauan Jennings,WR,Tush Push Director 🍑,192.74,11.34,165.8,11.84,14,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},82.5,B-
4 - 3,57,Tetairoa McMillan,WR,Men in Tight(End)s,235.26,13.84,200.9,12.56,16,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},82.39,B-
4 - 1,55,Jaylen Warren,RB,Becca’s Ballers,250.22,14.72,202.2,13.48,15,{2CC13964-3B93-4869-A746-1634AE79F650},82.3,B-
4 - 7,61,Jaylen Waddle,WR,Serving Punt,226.53,13.33,194.12,12.13,16,{FE598F7B-DEEB-43CB-B866-038706DB52C8},82.21,B-
12 - 16,214,Daniel Jones,QB,Sacks and the City,212.97,16.38,226.44,17.42,13,{FD379251-A8A4-42A5-8FA5-83D1DA913174},82.18,B-
14 - 8,242,Theo Johnson,TE,Tush Push Director 🍑,122.05,7.18,127.8,8.52,15,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C},82.13,B-
7 - 7,115,Keenan Allen,WR,Lamb of Goedert,212.6,12.51,172.1,10.76,16,{4DBC9875-C246-495B-9731-408DC5E2DFCE},81.98,B-
14 - 1,235,Blake Corum,RB,Becca’s Ballers,74.41,4.38,114.3,7.14,16,{2CC13964-3B93-4869-A746-1634AE79F650},81.72,B-
6 - 12,102,Zach Charbonnet,RB,Lamb of Goedert,137.02,8.06,162.7,10.85,15,{4DBC9875-C246-495B-9731-408DC5E2DFCE},81.56,B-
12 - 12,210,Sam Darnold,QB,Lamb of Goedert,241.69,14.22,226.6,14.16,16,{4DBC9875-C246-495B-9731-408DC5E2DFCE},81.3,B-
1 - 4,4,A.J. Brown,WR,Nothing Beats A Jets 2 Holiday,275.63,16.21,220.3,14.69,15,{9979E92C-9818-4436-9671-ABA329BBE6D9},81.22,B-
