Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Parker Washington,WR,Face Down Sacks Up,44.44,2.61,165.0,11.0,15,100.0,A+,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
Tre Tucker,WR,Face Down Sacks Up,130.64,7.68,156.3,9.77,16,90.53,A-,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
Mack Hollins,WR,Say Cheese 🧀💚🧀,53.82,3.17,113.4,7.56,15,89.14,B+,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5}
Falcons D/ST,D/ST,Men in Tight(End)s,71.73,4.22,105.0,6.56,16,87.7,B+,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB}
Colby Parkinson,TE,Gridiron Grace,14.74,0.87,110.2,7.87,14,87.7,B+,{2C5A506D-2152-485A-A901-E0C1F08F8915}
Browns D/ST,D/ST,Sacks and the City,68.61,4.04,124.0,7.75,16,86.35,B,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
Harold Fannin Jr.,TE,Faith's Fantastic Team,53.49,3.15,186.4,11.65,16,85.48,B,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
Tez Johnson,WR,Faith's Fantastic Team,3.06,0.18,89.2,5.95,15,83.64,B,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE}
AJ Barner,TE,Shae's Sunday Scaries ,81.84,4.81,143.9,8.99,16,80.62,B-,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Jalen Nailor,WR,Breezy’s Bros,23.88,1.4,92.8,5.8,16,80.04,B-,{C582F37F-EA8C-4A16-802F-468A6362CA16}
Oronde Gadsden,TE,Face Down Sacks Up,0.0,0.0,127.1,9.08,14,78.86,C+,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
Eddy Pineiro,K,Face Down Sacks Up,0.0,0.0,135.0,10.38,13,78.7,C+,{406D4692-3C67-4DBA-B1E3-5736014C31B1}
Jeremy McNichols,RB,Shae's Sunday Scaries ,16.9,0.99,70.6,4.41,16,77.44,C+,{301FF24A-F501-4A68-A146-66AEDC81FB63}
Cowboys D/ST,D/ST,Hurts so good,60.15,3.54,33.0,2.06,16,77.39,C+,{2CC644B9-3D0A-49C1-A594-91F37AAB004C}
Riley Patterson,K,Sacks and the City,29.85,7.46,124.0,7.75,16,77.31,C+,{FD379251-A8A4-42A5-8FA5-83D1DA913174}
Ryan Fitzgerald,K,Becca’s Ballers,126.72,7.45,105.0,6.56,16,76.34,C,{2CC13964-3B93-4869-A746-1634AE79F650}
