Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 9,9,Christian McCaffrey,RB,Team Daisey,318.69,18.75,404.9,25.31,16,100.0,A+,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
1 - 10,10,Puka Nacua,WR,C. Kirk's revenge,298.97,17.59,351.0,23.4,15,100.0,A+,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
3 - 8,32,Jaxon Smith-Njigba,WR,Njigba's in Paris,241.11,14.18,345.5,21.59,16,100.0,A+,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
1 - 4,4,Bijan Robinson,RB,Sh1tting on Laporta potty ,339.77,19.99,363.5,22.72,16,100.0,A+,{647A253D-3851-42DD-96BB-0155531AC0C3}
1 - 12,12,Jonathan Taylor,RB,Salem County Durag Snatchers,289.22,17.01,358.4,22.4,16,99.32,A+,{D13010D4-6FFD-4062-B010-D46FFDD062AB}
12 - 5,137,Drake Maye,QB,Njigba's in Paris,285.63,16.8,336.22,21.01,16,98.73,A+,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
1 - 5,5,Jahmyr Gibbs,RB,Sutton Deez Nuts,317.55,18.68,348.6,21.79,16,98.37,A+,{8FDD5AF7-2681-4166-9D5A-F72681316688}
4 - 1,37,Trey McBride,TE,Salem County Durag Snatchers,259.41,15.26,302.4,18.9,16,97.24,A+,{D13010D4-6FFD-4062-B010-D46FFDD062AB}
2 - 1,13,De'Von Achane,RB,Salem County Durag Snatchers,307.74,18.1,322.8,20.18,16,96.27,A,{D13010D4-6FFD-4062-B010-D46FFDD062AB}
3 - 5,29,Josh Allen,QB,Sutton Deez Nuts,368.33,21.67,364.62,22.79,16,95.28,A,{8FDD5AF7-2681-4166-9D5A-F72681316688}
6 - 8,68,George Pickens,WR,Sutton Deez Nuts,221.53,13.03,290.0,18.12,16,94.01,A,{8FDD5AF7-2681-4166-9D5A-F72681316688}
1 - 7,7,Amon-Ra St. Brown,WR,Amon Yo Ass Boy,290.88,17.11,299.1,18.69,16,93.76,A,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
2 - 10,22,James Cook III,RB,Najee Germany,270.17,15.89,302.7,18.92,16,93.45,A,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
1 - 1,1,Ja'Marr Chase,WR,Get Money Gang,340.41,20.02,290.0,19.33,15,93.44,A,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
14 - 11,167,Matthew Stafford,QB,Whole lotta gang sheed,274.68,16.16,324.72,20.3,16,93.1,A,{474CA494-4AD5-4520-A2B3-20C7F8715363}
7 - 2,74,Chris Olave,WR,Whole lotta gang sheed,209.99,12.35,268.0,16.75,16,92.17,A-,{474CA494-4AD5-4520-A2B3-20C7F8715363}
14 - 10,166,Trevor Lawrence,QB,Najee Germany,279.86,16.46,314.88,19.68,16,91.81,A-,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
11 - 11,131,Caleb Williams,QB,Matt Gay Team,280.2,16.48,301.6,18.85,16,91.2,A-,{5B5865A3-23DE-4072-86CD-6953574BC088}
9 - 6,102,Dak Prescott,QB,CeeDee'sNUTZ,286.39,16.85,313.08,19.57,16,90.34,A-,{76625186-E5C0-4260-9AB2-240171B7C267}
