Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Browns D/ST,D/ST,Amon Yo Ass Boy,68.61,4.04,124.0,7.75,16,100.0,A+,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Jason Myers,K,Njigba's in Paris,136.51,8.03,189.0,11.81,16,97.59,A+,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
AJ Barner,TE,Sutton Deez Nuts,81.85,4.81,143.9,8.99,16,94.96,A,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Wil Lutz,K,Najee Germany,135.38,7.96,116.0,7.25,16,94.34,A,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Jaguars D/ST,D/ST,Sutton Deez Nuts,87.31,5.14,124.0,7.75,16,94.09,A,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Quentin Johnston,WR,Njigba's in Paris,164.01,9.65,171.2,12.23,14,92.15,A-,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Rico Dowdle,RB,CeeDee'sNUTZ,83.98,4.94,215.3,13.46,16,91.98,A-,{76625186-E5C0-4260-9AB2-240171B7C267}
Ka'imi Fairbairn,K,Sutton Deez Nuts,135.89,7.99,164.0,11.71,14,89.3,B+,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Harold Fannin Jr.,TE,Matt Gay Team,53.49,3.15,186.4,11.65,16,88.51,B+,{5B5865A3-23DE-4072-86CD-6953574BC088}
Ryan Flournoy,WR,Njigba's in Paris,19.37,1.14,102.2,6.81,15,88.28,B+,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Juwan Johnson,TE,Whole lotta gang sheed,117.37,6.9,172.8,10.8,16,85.35,B,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Cam Little,K,Najee Germany,135.84,7.99,146.0,9.12,16,85.34,B,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Malik Washington,WR,Amon Yo Ass Boy,55.99,3.29,104.9,6.56,16,84.94,B,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Kenneth Gainwell,RB,CeeDee'sNUTZ,193.32,11.37,199.9,12.49,16,84.43,B,{76625186-E5C0-4260-9AB2-240171B7C267}
Jalen Coker,WR,Sutton Deez Nuts,108.65,8.36,73.7,7.37,10,84.25,B,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Nick Folk,K,Amon Yo Ass Boy,137.3,8.08,126.0,7.88,16,83.42,B,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Blake Corum,RB,CeeDee'sNUTZ,74.44,4.38,114.3,7.14,16,82.47,B-,{76625186-E5C0-4260-9AB2-240171B7C267}
Michael Carter,RB,Sutton Deez Nuts,0.0,0.0,92.1,7.67,12,82.26,B-,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Alec Pierce,WR,Team Daisey,70.94,4.17,154.1,11.01,14,82.16,B-,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
Brandon McManus,K,Amon Yo Ass Boy,136.74,8.04,104.0,8.0,13,81.14,B-,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Theo Johnson,TE,Team Daisey,122.08,7.18,127.8,8.52,15,80.76,B-,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
Dolphins D/ST,D/ST,CeeDee'sNUTZ,79.77,4.69,83.0,5.19,16,80.05,B-,{76625186-E5C0-4260-9AB2-240171B7C267}
Troy Franklin,WR,Sh1tting on Laporta potty ,79.7,4.69,177.1,11.07,16,79.67,C+,{647A253D-3851-42DD-96BB-0155531AC0C3}
Eddy Pineiro,K,Sh1tting on Laporta potty ,0.0,0.0,135.0,10.38,13,79.24,C+,{647A253D-3851-42DD-96BB-0155531AC0C3}
Cowboys D/ST,D/ST,Team Daisey,60.15,3.54,33.0,2.06,16,78.84,C+,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
Kyle Monangai,RB,Sh1tting on Laporta potty ,51.56,3.03,140.8,8.8,16,78.06,C+,{647A253D-3851-42DD-96BB-0155531AC0C3}
Andy Borregales,K,Matt Gay Team,128.88,7.58,135.0,8.44,16,77.8,C+,{5B5865A3-23DE-4072-86CD-6953574BC088}
Darius Slayton,WR,Whole lotta gang sheed,115.28,6.78,89.4,6.88,13,76.85,C,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Falcons D/ST,D/ST,Whole lotta gang sheed,71.73,4.22,105.0,6.56,16,75.84,C,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Woody Marks,RB,Matt Gay Team,73.36,4.32,144.3,9.62,15,75.21,C,{5B5865A3-23DE-4072-86CD-6953574BC088}
Bhayshul Tuten,RB,Najee Germany,4.71,0.28,80.3,5.74,14,74.8,C,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Parker Washington,WR,Team Daisey,44.44,2.61,165.0,11.0,15,72.37,C-,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
Romeo Doubs,WR,Get Money Gang,126.55,7.44,165.4,10.34,16,71.22,C-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Chargers D/ST,D/ST,Najee Germany,72.66,4.27,110.0,6.88,16,70.24,C-,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Jacoby Brissett,QB,Get Money Gang,2.24,0.13,212.82,16.37,13,70.13,C-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Saints D/ST,D/ST,Sh1tting on Laporta potty ,62.14,3.66,115.0,7.19,16,70.09,C-,{647A253D-3851-42DD-96BB-0155531AC0C3}
Riley Patterson,K,Get Money Gang,29.85,7.46,124.0,7.75,16,68.7,D+,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Kendrick Bourne,WR,Najee Germany,0.0,0.0,92.1,6.14,15,68.05,D+,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Kayshon Boutte,WR,Njigba's in Paris,110.03,6.47,119.7,9.21,13,67.77,D+,{71E3346E-E19C-4E2B-B201-2ED713E82FBA}
Chimere Dike,WR,Whole lotta gang sheed,37.73,2.22,120.4,7.53,16,67.51,D+,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Isaac TeSlaa,WR,Amon Yo Ass Boy,56.4,3.32,73.1,4.57,16,67.04,D+,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Sean Tucker,RB,C. Kirk's revenge,28.28,1.66,91.8,5.74,16,66.68,D,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Jaxson Dart,QB,Sh1tting on Laporta potty ,132.35,14.71,221.18,17.01,13,65.24,D,{647A253D-3851-42DD-96BB-0155531AC0C3}
Daniel Jones,QB,Najee Germany,213.21,16.4,226.44,17.42,13,64.6,D,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
John Metchie III,WR,Amon Yo Ass Boy,1.17,0.07,66.9,4.46,15,64.43,D,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Cade Otton,TE,C. Kirk's revenge,138.37,8.14,99.8,6.65,15,63.36,D,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Aaron Rodgers,QB,Matt Gay Team,232.98,13.7,209.32,13.95,15,61.56,D-,{5B5865A3-23DE-4072-86CD-6953574BC088}
Kareem Hunt,RB,Get Money Gang,100.0,5.88,138.9,8.68,16,56.65,F-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Bam Knight,RB,Najee Germany,6.63,0.39,92.9,7.74,12,54.6,F-,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F}
Michael Penix Jr.,QB,Matt Gay Team,251.54,14.8,120.28,13.36,9,52.72,F-,{5B5865A3-23DE-4072-86CD-6953574BC088}
Harrison Mevis,K,Get Money Gang,0.0,0.0,66.0,8.25,8,51.01,F-,{78CFA850-7ED9-4CF2-A523-9E8083CD4055}
Sterling Shepard,WR,C. Kirk's revenge,29.36,1.73,82.0,6.31,13,46.05,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Jaylin Noel,WR,Amon Yo Ass Boy,37.48,2.2,66.1,4.13,16,42.99,F-,{8F080C99-8FBE-4E90-880C-998FBE9E9061}
Carson Wentz,QB,Matt Gay Team,2.7,0.16,70.34,14.07,5,41.37,F-,{5B5865A3-23DE-4072-86CD-6953574BC088}
Marcus Mariota,QB,C. Kirk's revenge,2.7,0.16,125.5,11.41,11,35.93,F-,{AAD245A4-298A-4362-A70B-5F838E0D6F64}
Taysom Hill,TE,Sutton Deez Nuts,0.0,0.0,35.58,2.96,12,33.11,F-,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Devin Neal,RB,Sutton Deez Nuts,52.11,3.07,60.0,6.0,10,29.83,F-,{8FDD5AF7-2681-4166-9D5A-F72681316688}
Philip Rivers,QB,Team Daisey,0.0,0.0,31.66,10.55,3,10.0,F-,{67B022C6-A862-4E4E-B022-C6A8627E4E95}
