Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 8,8,Tyreek Hill,WR,Trestleches,0.0,0.0,376.4,23.52,16,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},100.0,A+
3 - 5,21,CeeDee Lamb,WR,Steel Curtain Athletics,0.0,0.0,403.2,23.72,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},100.0,A+
1 - 5,5,Christian McCaffrey,RB,Steel Curtain Athletics,0.0,0.0,391.3,24.46,16,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},97.66,A+
3 - 7,23,Amon-Ra St. Brown,WR,Team Date,242.06,16.14,330.9,20.68,16,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},95.1,A
7 - 6,54,Breece Hall,RB,OAC PADS,0.0,0.0,290.5,17.09,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},92.17,A-
13 - 8,104,Evan Engram,TE,Trestleches,0.0,0.0,230.3,13.55,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},92.0,A-
6 - 6,46,DJ Moore,WR,Now there are two of them!,0.0,0.0,286.5,16.85,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},90.64,A-
4 - 1,25,A.J. Brown,WR,Trestleches,0.0,0.0,289.6,17.04,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},89.22,B+
5 - 3,35,Mike Evans,WR,Now there are two of them!,0.0,0.0,282.5,16.62,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},89.15,B+
7 - 7,55,Rachaad White,RB,Team Date,0.0,0.0,267.9,15.76,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},89.13,B+
6 - 1,41,Keenan Allen,WR,Trestleches,0.0,0.0,278.86,21.45,13,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},88.94,B+
5 - 4,36,Jalen Hurts,QB,Did I Set My Lineup?,0.0,0.0,356.82,20.99,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},88.02,B+
