Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Raheem Mostert,RB,OAC PADS,0.0,0.0,267.7,17.85,15,{8EF83BEE-329B-4056-9953-F0E1B26AC099},93.47,A
Puka Nacua,WR,OAC PADS,0.0,0.0,298.5,17.56,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},93.34,A
Ravens D/ST,D/ST,Now there are two of them!,0.0,0.0,172.0,10.12,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},93.28,A
Kyren Williams,RB,#18 gridIRON Reinforcements,0.0,0.0,255.0,21.25,12,{C8990D47-253E-4031-B91B-BE429F8DCDA8},91.23,A-
Sam LaPorta,TE,Did I Set My Lineup?,0.0,0.0,239.3,14.08,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},90.99,A-
Brandon Aubrey,K,#18 gridIRON Reinforcements,131.9,7.76,180.0,10.59,17,{C8990D47-253E-4031-B91B-BE429F8DCDA8},87.48,B+
Nico Collins,WR,Did I Set My Lineup?,0.0,0.0,260.4,17.36,15,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},87.05,B+
Jordan Love,QB,Team Date,0.0,0.0,319.06,18.77,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},86.12,B
Jerome Ford,RB,Trestleches,0.0,0.0,211.2,12.42,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},83.48,B
Brock Purdy,QB,Trestleches,0.0,0.0,295.6,18.48,16,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},83.29,B
Jared Goff,QB,Now there are two of them!,0.0,0.0,289.1,17.01,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},82.5,B-
Adam Thielen,WR,Now there are two of them!,0.0,0.0,231.0,13.59,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},82.19,B-
Chiefs D/ST,D/ST,#18 gridIRON Reinforcements,0.0,0.0,140.0,8.24,17,{C8990D47-253E-4031-B91B-BE429F8DCDA8},81.3,B-
C.J. Stroud,QB,Steel Curtain Athletics,0.0,0.0,276.02,18.4,15,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},80.92,B-
Jaylen Warren,RB,Did I Set My Lineup?,0.0,0.0,196.4,11.55,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},80.86,B-
Baker Mayfield,QB,OAC PADS,0.0,0.0,274.06,16.12,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},80.69,B-
Jayden Reed,WR,Now there are two of them!,0.0,0.0,217.2,13.58,16,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},79.9,C+
De'Von Achane,RB,Now there are two of them!,0.0,0.0,190.7,17.34,11,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},79.86,C+
Raiders D/ST,D/ST,Team Date,0.0,0.0,135.0,7.94,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},79.42,C+
Gus Edwards,RB,OAC PADS,0.0,0.0,187.0,11.0,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},79.2,C+
Rashee Rice,WR,#18 gridIRON Reinforcements,0.0,0.0,212.5,13.28,16,{C8990D47-253E-4031-B91B-BE429F8DCDA8},79.13,C+
Chuba Hubbard,RB,#18 gridIRON Reinforcements,0.0,0.0,182.5,10.74,17,{C8990D47-253E-4031-B91B-BE429F8DCDA8},78.41,C+
Zay Flowers,WR,#18 gridIRON Reinforcements,0.0,0.0,206.4,12.9,16,{C8990D47-253E-4031-B91B-BE429F8DCDA8},78.12,C+
Ezekiel Elliott,RB,OAC PADS,127.95,9.14,174.5,10.26,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},76.99,C
Matt Gay,K,Trestleches,130.42,7.67,149.0,8.76,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},76.93,C
Trey McBride,TE,Steel Curtain Athletics,70.57,4.7,181.5,10.68,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},76.47,C
Devin Singletary,RB,Did I Set My Lineup?,0.0,0.0,167.34,9.84,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},75.72,C
Jake Ferguson,TE,Now there are two of them!,0.0,0.0,177.1,10.42,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},75.36,C
Jason Sanders,K,Now there are two of them!,133.72,7.87,142.0,8.35,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},74.54,C
Brandon McManus,K,Steel Curtain Athletics,137.74,8.1,139.0,8.18,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},73.52,C
Romeo Doubs,WR,Now there are two of them!,0.0,0.0,174.4,10.26,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},72.83,C-
Jake Moody,K,Jacobs@Jacobs.com,0.0,0.0,127.0,7.47,17,{6C20CE03-6748-4775-8F78-14F924D2272F},69.44,D+
Dalton Kincaid,TE,Did I Set My Lineup?,0.0,0.0,150.3,9.39,16,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},68.63,D+
Taysom Hill,TE,#18 gridIRON Reinforcements,0.0,0.0,143.52,8.97,16,{C8990D47-253E-4031-B91B-BE429F8DCDA8},66.93,D
Elijah Moore,WR,Jacobs@Jacobs.com,141.71,9.45,132.1,7.77,17,{6C20CE03-6748-4775-8F78-14F924D2272F},65.84,D
Broncos D/ST,D/ST,Trestleches,0.0,0.0,98.0,5.76,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},65.57,D
Kyler Murray,QB,Team Date,0.0,0.0,146.36,18.3,8,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},65.27,D
Falcons D/ST,D/ST,Steel Curtain Athletics,0.0,0.0,92.0,5.41,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},63.32,D
Bengals D/ST,D/ST,Jacobs@Jacobs.com,0.0,0.0,91.0,5.35,17,{6C20CE03-6748-4775-8F78-14F924D2272F},62.95,D-
DeMario Douglas,WR,Jacobs@Jacobs.com,0.0,0.0,107.2,7.66,14,{6C20CE03-6748-4775-8F78-14F924D2272F},61.72,D-
Rams D/ST,D/ST,OAC PADS,0.0,0.0,75.0,4.41,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},56.95,F
Isaiah Likely,TE,Jacobs@Jacobs.com,59.81,3.99,101.1,5.95,17,{6C20CE03-6748-4775-8F78-14F924D2272F},56.28,F
Michael Badgley,K,Did I Set My Lineup?,0.0,0.0,26.0,6.5,4,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},35.04,F
